TERMOS;OBSERVA��O (CARACTERES);EXLCUIR;sin�nimo (categoria);Frequency
CRITICAL REPARATIVE;;;;1
CRITICAL REPRODUCTIVE;;;;1
CRITICAL SCOPING;;1;;1
CRITICAL TOOLS;;;;1
CRITICAL-CONCEPTUAL FRAMEWORK;;;;1
CROSS-BORDER REPRODUCTION;;;;1
CROSS-BORDER TRAVEL;;;;1
CROSS-CULTURAL HEALTHCARE;;;;1
CROSS-FERTILISING REPRODUCTION;;;;1
CROSS-SPECIES ASSEMBLAGES;;;;1
CULTIVATING ACCESS;;;;1
CULTIVATING CONNECTIONS;;;;1
CULTIVATING IGNORANCE;;;;1
CULTIVATING VITAL;;;;1
CULTIVATION RUTH;;;;1
CULTURAL ASSUMPTIONS;;;;1
CULTURAL CONTEXTS;;;;1
CULTURAL DE-COLONIZATION;;;;1
CULTURAL HUMILITY;;;;1
CULTURAL LITERACY;;;;1
CULTURAL NARRATIVES;;;;1
CULTURAL RESPONSES;;;;1
CULTURALLY SAFE;;;;1
CULTURALLY SPECIFIC;;;;1
CULTURE CONTRACEPTION;;;;1
CULTURE INOT;;;;1
CULTURE STUDIES;;;;1
CURRENT EVIDENCE;;;;1
CURRENT FIGHT;;;;1
CURRENT TRENDS;;;;1
CURRICULUM COVERAGE;;;;1
CURRICULUM DEVELOPMENT;;;;1
CUT KIN;;;;1
CYBORG UTERINE;;;;1
CYCLE ARTISTS;;;;1
DA AUDIÊNCIA;CARACTER ESPECIAL;;;1
DA MATERNIDADE;;;;1
DA VIOLÊNCIA;CARACTER ESPECIAL;;;1
DAILY REMINDER;;;;1
DANIEL CRAIG;;;;1
DAPIVIRINE RING;;;;1
DARK ROAD;;;;1
DAUGHTER KAKUYA;;;;1
DAY EXAMINING;;;;1
DE COVID-;;;COVID- PANDEMIC;1
DE ESCOPO;;;;1
DE GÉNERO;CARACTER ESPECIAL;;;1
DE PLANIFICACIÓN;CARACTER ESPECIAL;;;1
DE QUEER;;;;1
DE SAÚDE;CARACTER ESPECIAL;;;1
DE SALUD;;;;1
DE SUBSTITUTION;;;;1
DE UMA;;;;1
DE VIOLÊNCIA;CARACTER ESPECIAL;;;1
DEAF COMMUNITY;;;DEAF COMMUNITY;1
DEAF PEOPLES;;;DEAF COMMUNITY;1
DEAL CHALLENGES;;;;1
DEATH RATES;;;;1
DEATH RETHINKING;;;;1
DEBATE BINARY;;;;1
DEBATE SOBRE;;;;1
DECISION ABORTION;;;ABORTION STUDY;1
DECISION REPRODUCTIVE;;;;1
DECISION-MAKING MODEL;;;;1
DECOLONIAL FEMINIST;;;;1
DECOLONIAL QUEER;;;;1
DECOLONIAL REPRODUCTIVE;;;;1
DE-COLONIZATION VERSUS;;;;1
DECOLONIZED MENTAL;;;;1
DECOLONIZING ADOPTION;;;ADOPTION BELONGING;1
DECOLONIZING FEMINISM;;;;1
DECOLONIZING NURSING;;;;1
DE-CONSTITUTIONALIZING ABORTION;;;ABORTION STUDY;1
DECOUPLING ECONOMIC;;;;1
DECRIMINALIZATION IRISH;;;;1
DEEPLY ROOTED;;;;1
DEFAULT HUMAN;;;;1
DEFEAT MISCARRIAGE;;;;1
DEFECTS RESEARCH;;;;1
DEFENDING ABORTION;;;ABORTION STUDY;1
DEFENSE ATTORNEYS;;;;1
DEFERRED ACTION;;;;1
DEFINING SEXUAL;;;;1
DEFINITION ABORTION;;;ABORTION STUDY;1
DEGRADATION RACIAL;;;BLACK LIVES;1
DEL POLÍGONO;CARACTER ESPECIAL;;;1
DELIBERATE DELAYS;;;;1
DELINEAMENTO DE;;;;1
DELIVERING POWER;;;;1
DELPHI CONSENSUS;;;;1
DELPHI STUDY;;;;1
DEMAND INSURANCE;;;;1
DEMOCRACY REAL;;;;1
DEMOGRAPHIC HISTORIES;;;;1
DEMONSTRATION PROGRAM;;;;1
DEN GESCHLECHTERN;;;;1
DENSE TEMPORALITIES;;;;1
DEPLOY IDEAS;;;;1
DEPOLITICISED EPIDEMIC;;;;1
DEPRESSIVE SYMPTOMOLOGY;;;;1
DER UNGLEICHHEITEN;;;;1
DESAFIOS TEÓRICO-POLÍTICOS;CARACTER ESPECIAL;;;1
DESENVOLVIMENTO SUSTENTÁVEL;;;;1
DESIGN COMMUNICATION;;;COMMUNICATION STUDIES;1
DESIRING CHILDREN;;;;1
DETENTION SYSTEM;;;ABOLITION POLITICS;1
DEVELOPMENT GOALS;;;;1
DEVELOPMENT IMPLEMENTATION;;;;1
DEVELOPMENT OBJECTIVES;;;;1
DEVELOPMENT URBAN;;;;1
DEVELOPMENTAL DISABILITIES;;;;1
DEVELOPMENTAL ISSUES;;;;1
DEVICE INSERTIONAL;;;;1
DEVIL ADVOCATING;;;;1
DEVIS GIRIBALA;;;;1
DIAS PORA;;;BLACK LIVES;1
DIASPORA SPEAKING;;;BLACK LIVES;1
DIE ANONYME;;;;1
DIE BABY-HUNGER;;;;1
DIFFICULT DISCONTINUATION;;;;1
DIFFICULT QUESTIONS;;;;1
DIFFRACTIVE SWIMMING;;;;1
DIGITAL SNAPSHOT;;;;1
DIGITAL STORYTELLING;;;;1
DIGITAL TECHNOLOGIES;;;;1
DIGNIFIED CARE;;;;1
DIRECT SERVICE;;;;1
DIRECTIVES CONTRADICT;;;;1
DIRECTIVES PROMOTING;;;;1
DIRECT-TO-CONSUMER GENETIC;;;;1
DIREITOS HUMANOS;;;;1
DISABILITIES IREPRODUCTIVE;;;;1
DISABILITY BIOETHICS;;;ETHICAL ISSUES;1
DISABILITY JUSTICEI;;;;1
DISABILITY RACE;;;;1
DISABILITY SELECTIVE;;;;1
DISABILITY STUDIES;;;;1
DISABILITY VISIBILITY;;;;1
DISABLED BABIESHOW;;;;1
DISABLED WOMENS;;;;1
DISARTICULATORY PRACTICE;;;;1
DISASTER RESPONSE;;;;1
DISCLOSING DOMESTIC;;;;1
DISCOMFORTING NARRATIVE;;;;1
DISCONTINUING LONG-ACTING;;;LONG-ACTING REVERSIBLE;1
DISCORDANT EXPECTATIONS;;;;1
DISCOURSE VIS-À-VIS;CARACTER ESPECIAL;;;1
DISCOURSE WOMENS;;;;1
DISCRIMINATION IMPACTS;;;;1
DISCRIMINATORY ACCURACY;;;;1
DISCUSSING LESSONS;;;;1
DISINFORMATION ANTI-FEMINISMS;;;COMMUNICATION STUDIES;1
DISMANTLING BARRIERS;;;;1
DISMANTLING INEQUITIES;;;EQUITY ADDRESSING;1
DISORDER INCREASES;;;;1
DISPARITIES RESEARCH;;;;1
DISRUPTED MASS;;;;1
DISRUPTING FAMILY;;;;1
DISSENT REPRODUCTIVE;;;;1
DISSENTING FICTION;;;;1
DISTORTED RELATIONSHIPS;;;;1
DIVERSE INDIVIDUALS;;;;1
DIVERSE PATIENTS;;;;1
DIVERSE PEOPLE;;;;1
DIVERSE POPULATIONS;;;;1
DIVERSE SEXUAL;;;;1
DIVERSE STAKEHOLDERS;;;;1
DIVERSITY INCLUSION;;;;1
DIVIDED CITIZENSHIP;;;;1
DIY MEDIA-MAKING;;;;1
DOBBS DECISION;;;DOBBS DECISION;1
DOBBS REPRODUCTIVE;;;DOBBS DECISION;1
DOBBS RULING;;;DOBBS DECISION;1
DOBBS WROUGHT;;;DOBBS DECISION;1
DOBBSI LANDSCAPE;;;DOBBS DECISION;1
DOCTORS DUTY;;;;1
DOCTORS ROE;;;;1
DOCUMENTARY FILM;;;;1
DOCUMENTING REPRODUCTIVE;;;;1
DOMINANT CULTURAL;;;;1
DONATION PRACTICES;;;ASSISTED REPRODUCTION;1
DONOR ANONYMITY;;;ASSISTED REPRODUCTION;1
DONOR FEAR;;;ASSISTED REPRODUCTION;1
DONOR INSEMINATION;;;ASSISTED REPRODUCTION;1
DONOR SPERM;;;ASSISTED REPRODUCTION;1
DONOR-FUNDED REPRODUCTIVE;;;ASSISTED REPRODUCTION;1
DONORS ONLINE;;;ASSISTED REPRODUCTION;1
DONT REGRET;;1;;1
DORADO FIRE;;;;1
DOS OBJETIVOS;;1;;1
DOUBLE EDGE;;;;1
DOUBLY ROBUST;;;;1
DOULA CARE;;;;1
DOULAS BLACK;;;;1
DROMGOOLES BILLION;;;;1
DRUG ADDICT;;;DRUG ADDICT;1
DRUG INTERACTION;;;DRUG ADDICT;1
DRUGS ACCESS;;;DRUG ADDICT;1
DUMP FERAL;;;;1
DURCH ANTI-ABTREIBUNGSREFORMEN;;;;1
DYING BLACK;;;BLACK LIVES;1
DYSFUNCTIONAL POPULATION;;;;1
DYSTOPIC CONDITIONS;;;;1
EARTH ENVIRONMENTAL;;;ENVIRONMENTAL JUSTICE;1
EASY LEGAL;;;;1
EASY READ;;;;1
ECOFEMINIST COMMUNICATION;;;;1
ECOFEMINIST EDUCATION;;;;1
ECOFEMINIST ENVIRONMENTAL;;;ENVIRONMENTAL JUSTICE;1
ECOLOGIC STUDY;;;ECOLOGIC STUDY;1
ECOLOGICAL FRAMEWORK;;;ECOLOGIC STUDY;1
ECOLOGICAL RESISTANCE;;;ECOLOGIC STUDY;1
ECONOMICALLY MARGINALIZED;;;;1
ECOSOCIAL ANALYSIS;;;ECOLOGIC STUDY;1
ECTOGENESIS INEQUALITY;;;EQUITY ADDRESSING;1
ECTOGENESIS REDISTRIBUTE;;;;1
ECTOGENESIS REPRODUCTIVE;;;;1
ECUADOR FICCIONES;;;;1
ECUADORIAN CHILDREN;;;;1
EDGES POLITICS;;;;1
EDITING INTERNATIONAL;;;;1
EDITORIAL HEALTH;;1;HEALTH ISSUE;1
EDITORS INTRODUCTION;;1;;1
EDUCATED HOPE;;;EDUCATION FRAMEWORK;1
EDUCATED WHITE;;;EDUCATION FRAMEWORK;1
EDUCATION FRAMEWORK;;;EDUCATION FRAMEWORK;1
EDUCATION PRACTICE;;;EDUCATION FRAMEWORK;1
EDUCATION REPRODUCTIVE;;;EDUCATION FRAMEWORK;1
EDUCATION RESULTS;;;EDUCATION FRAMEWORK;1
EDUCATIONAL ACCESS;;;EDUCATION FRAMEWORK;1
EDUCATIONAL ASPIRATIONS;;;EDUCATION FRAMEWORK;1
EDUCATIONAL RESEARCH;;;EDUCATION FRAMEWORK;1
EDUCATORS DEMONSTRATE;;;EDUCATION FRAMEWORK;1
EGALITARIAN FRAMING;;;;1
EGG CAPITALISM;;;;1
EGG DONATION;;;ASSISTED REPRODUCTION;1
EGG PROVIDERS;;;ASSISTED REPRODUCTION;1
EGGS VIVIENNE;;;ASSISTED REPRODUCTION;1
EL DORADO;;;;1
EL POSTHUMANISME;;;;1
EL PROGRAMA;;;;1
EL SISTEMA;;;;1
ELEVATING MOTHERS;;;;1
ELIGIBILITY CRITERIA;;;;1
EMBODIED ABOLITION;;;ABOLITION POLITICS;1
EMBODIED ENCOUNTERS;;;;1
EMBODIED GEOGRAPHIES;;;;1
EMBODIED REFLECTION;;;;1
EMBODIED RHETORIC;;;;1
EMBODIED TECHNOFEMINIST;;;;1
EMBODIED THEORY;;;;1
EMBODYING RESISTANCE;;;;1
EMBRYO EDITING;;;;1
EMERGENCE INTERSECTIONAL;;;;1
EMERGENCY CLINICIANS;;;;1
EMERGENCY DEPARTMENT;;;;1
EMERGENCY MEDICINE;;;;1
EMERGENT LATINO;;;;1
EMERGING ADULTHOOD;;;;1
EMERGING ADULTS;;;;1
EMERGING CONCEPT;;;;1
EMILY ST;;;;1
EMOTIONAL CONSTRUCTION;;;;1
EMOTIONALLY PSYCHO;;;;1
EMOTIONS SHAPE;;;;1
EMPLOY FEMINIST;;;;1
EMPLOYER-SPONSORED REPRODUCTION;;;;1
EMPLOYMENT LAW;;;CRIMINAL JUSTICE;1
EMPLOYMENT PROTECTIONS;;;;1
EMPOWER MEDICAL;;;;1
EMPOWERING ADOLESCENTS;;;ADDRESSING TEENAGE;1
EMPOWERING PROCESSES;;;;1
EMPOWERING ROMA;;;;1
EMPOWERMENT EVALUATION;;;;1
EN EL;;1;;1
EN MUJERES;;;;1
EN URUGUAY;;;;1
ENACTING FEMINIST;;;;1
ENACTING REPRODUCTIVE;;;;1
ENDOMETRIAL CANCER;;;;1
ENERGIZING RHETORICS;;;;1
ENGAGING DIY;;;;1
ENGENDERING LEGAL;;;;1
ENHANCE RESEARCH;;;;1
ENHANCED CONTRACEPTIVE;;;;1
ENHANCING PRENATAL;;;;1
ENHANCING REPRODUCTIVE;;;;1
ENLIGHTENING REPRODUCTIVE;;;;1
ENSURE ACCESS;;;;1
ENSURING ACCESS;;;;1
ENSURING EQUITABLE;;;EQUITY ADDRESSING;1
ENSURING REPRODUCTIVE;;;;1
ENTANGLING STRUGGLES;;;;1
ENTRETIEN AVEC;;1;;1
ENVIRONMENTAL CONTAMINATION;;;ENVIRONMENTAL JUSTICE;1
ENVIRONMENTAL DEGRADATION;;;ENVIRONMENTAL JUSTICE;1
ENVIRONMENTAL EXPOSURES;;;ENVIRONMENTAL JUSTICE;1
ENVIRONMENTAL INJUSTICE;;;ENVIRONMENTAL JUSTICE;1
ENVIRONMENTAL POLITICS;;;ENVIRONMENTAL JUSTICE;1
ENVIRONMENTAL VIOLENCE;;;ENVIRONMENTAL JUSTICE;1
EPIDEMIC CONTROL;;;;1
EPIDEMIOLOGY ETHICS;;;ETHICAL ISSUES;1
EPISTEMIC HETEROGENEITY;;;;1
EQUAL EXCHANGE;;;EQUITY ADDRESSING;1
EQUAL OPPORTUNITY;;;EQUITY ADDRESSING;1
EQUALITY RACE;;;EQUITY ADDRESSING;1
EQUALITY-BASED APPROACH;;;EQUITY ADDRESSING;1
EQUITABLE MATERNAL;;;EQUITY ADDRESSING;1
EQUITABLE PARTNERSHIPS;;;EQUITY ADDRESSING;1
EQUITY ADDRESSING;;;EQUITY ADDRESSING;1
EQUITY DIVERSITY;;;EQUITY ADDRESSING;1
EQUITY LESSONS;;;EQUITY ADDRESSING;1
EQUITY RESEARCH;;;EQUITY ADDRESSING;1
EQUITY SESSION;;;EQUITY ADDRESSING;1
EQUITY STRUCTURES;;;EQUITY ADDRESSING;1
ERA EXAMINING;;1;;1
ERA REPRODUCTIVE;;;;1
ERAI CONCLUSION;;1;;1
ERASE DISABLED;;;;1
ERASURE TRANS;;;;1
ERDRICHS FUTURE;;;;1
ERNAUXS LÉVÈNEMENT;CARACTER ESPECIAL;;;1
ESCOPO MATERNIDADE;;;REPRODUCTIVE HEALTH;1
ESSENTIAL COMPONENTS;;;;1
ESSENTIALISM REPRODUCTIVE;;;;1
ESTABLISHING IDENTITY;;;;1
ESTABLISHING MEDICATION;;;;1
ETHICAL ANALYSIS;;;ETHICAL ISSUES;1
ETHICAL FRAMEWORK;;;ETHICAL ISSUES;1
ETHICAL HEALTH;;;ETHICAL ISSUES;1
ETHICAL MANDATE;;;ETHICAL ISSUES;1
ETHICAL NARRATIVE;;;ETHICAL ISSUES;1
ETHICAL REPRODUCTIVE;;;ETHICAL ISSUES;1
ETHICALLY JUSTIFIABLE;;;ETHICAL ISSUES;1
ETHICS BIRTH;;;ETHICAL ISSUES;1
ETHICS EDUCATION;;;ETHICAL ISSUES;1
ETHICS OPINIONS;;;ETHICAL ISSUES;1
ETHICS SUPPORTING;;;ETHICAL ISSUES;1
ETHNIC DISPARITIES;;;;1
ETHNOGRAPHIC EXPLORATIONS;;;;1
ETONOGESTREL SUBDERMAL;;;;1
EUGENIC STERILISATION;;;EUGENICS PROGRAMS;1
EUGENIC STERILIZATION;;;EUGENICS PROGRAMS;1
EUGENICS EXPANDING;;;EUGENICS PROGRAMS;1
EUGENICS POPULATION;;;EUGENICS PROGRAMS;1
EUGENICS PROGRAMS;;;EUGENICS PROGRAMS;1
EUGENICS REPRODUCTIVE;;;EUGENICS PROGRAMS;1
EUROPEAN COUNTRIES;;;;1
EVALUATION CLINICS;;;;1
EVALUATION KEY;;1;;1
EVANGELICAL WOMENS;;;;1
EVER-TIGHTENING CHOKEHOLD;;;;1
EVERYDAY BORDERING;;;;1
EVERYDAY LIVES;;;;1
EVERYDAY MIDWIFERY;;;;1
EVERYDAY PRACTICES;;;;1
EVICTION TRAJECTORIES;;;;1
EVIDENCE HARM;;;;1
EVIDENCE HEALTH;;;;1
EVIDENCE-BASED SAFER;;;;1
EVOLUTION LIMITATIONS;;;;1
EVOLVING CARE;;;;1
EXAMINING CONTEXT;;;EXAMINING CONTEXT;1
EXAMINING CONTEXTS;;;EXAMINING CONTEXT;1
EXAMINING INDIGENOUS;;;;1
EXAMINING OBSTETRIC;;;;1
EXAMINING REACTIONS;;;;1
EXAMINING SOCIAL;;;;1
EXAMINING STRUGGLES;;;;1
EXAMINING UNMET;;;;1
EXCEPTION WEAK;;;;1
EXCEPTIONALISM EXPOSES;;;;1
EXERCISING REPRODUCTIVE;;;;1
EXPANDING ELIGIBILITY;;;;1
EXPANDING PERSPECTIVES;;;;1
EXPANDING REPRODUCTIVE;;;;1
EXPECTATIONS ADDRESSING;;;;1
EXPECTATIONS UNMET;;;;1
EXPERIÊNCIA DA;CARACTER ESPECIAL;;;1
EXPERIENCE BLACK;;;BLACK LIVES;1
EXPERIENCED PRETERM;;;;1
EXPERIENCES NAVIGATING;;;;1
EXPERIENCING HOMELESSNESS;;;;1
EXPERIMENTAL POETICS;;;;1
EXPLANATORY MODELS;;;;1
EXPLOITATION EL;;;;1
EXPLOITATION QUEER;;;;1
EXPLORE NARRATIVES;;;;1
EXPLORE SEXUAL;;;;1
EXPLORE UNCERTAIN;;;;1
EXPLORING BLOOD;;;;1
EXPLORING CONTRACEPTIVE;;;;1
EXPLORING EGG;;;ASSISTED REPRODUCTION;1
EXPLORING SWEDISH;;;;1
EXPLOTACIÓ REPRODUCTIVA;CARACTER ESPECIAL;;;1
EXPONENTIAL REPRODUCTIVE;;;;1
EXTINCTION PHOBIA;;;;1
EXTRACTABILITY CENTRING;;;;1
EXTRACTION ENVIRONMENTAL;;;;1
FACING MEXICAN;;;;1
FACTORS AFFECTING;;;;1
FAILURE POLITICAL;;;;1
FAITHS VIEW;;;;1
FALLACY DECOLONIZATION;;;;1
FAMILIAR DEL;;1;;1
FAMILIES ARTICLE;;;;1
FAMILIES LIMITING;;;;1
FAMILIES READING;;;;1
FAMILY CARE;;;;1
FAMILY FERTILITY;;;;1
FAMILY FORMATION;;;;1
FAMILY HAPPY;;;;1
FAMILY IMAGINARIES;;;;1
FAMILY MEDICINE;;;;1
FAMILY POLICING;;;;1
FAMILY THERAPISTS;;;;1
FARM LABOR;;;;1
FARMING COMMUNITIES;;;;1
FASCIST ENERGIZING;;;;1
FAT REPRODUCTIVE;;;;1
FAT RISK;;;;1
FAT SHAME;;;;1
FATNESS FERTILITY;;;;1
FEDERALISM DIVIDED;;;;1
FEDERALLY QUALIFIED;;;;1
FEET TREATMENT;;;;1
FEMALE FETICIDE;;;;1
FEMALE GENITAL;;;;1
FEMALE GENITALIA;;;;1
FEMALE STERILIZATION;;;;1
FEMALE VICTIMHOOD;;;;1
FEMALE VICTIMS;;;;1
FEMININE SUBJECTIVITY;;;;1
FEMINISM INTRODUCING;;;ACTIVIST KNOWLEDGES;1
FEMINISMS CHOICE;;;ACTIVIST KNOWLEDGES;1
FEMINISMS CORAJE;;;ACTIVIST KNOWLEDGES;1
FEMINIST ABORTION;;;ABORTION STUDY;1
FEMINIST ACTIVISM;;;ACTIVIST KNOWLEDGES;1
FEMINIST AGENDA;;;ACTIVIST KNOWLEDGES;1
FEMINIST ANALYSIS;;;ACTIVIST KNOWLEDGES;1
FEMINIST APPROACH;;;ACTIVIST KNOWLEDGES;1
FEMINIST APPROACHES;;;ACTIVIST KNOWLEDGES;1
FEMINIST ART;;;ART-BASED APPROACH;1
FEMINIST BYLLYE;;;ACTIVIST KNOWLEDGES;1
FEMINIST CHRISTIAN;;;ACTIVIST KNOWLEDGES;1
FEMINIST COALITIONS;;;ACTIVIST KNOWLEDGES;1
FEMINIST COLLECTIVE;;;ACTIVIST KNOWLEDGES;1
FEMINIST CRIMINOLOGY;;;ACTIVIST KNOWLEDGES;1
FEMINIST CRITIQUE;;;ACTIVIST KNOWLEDGES;1
FEMINIST DIAS;;;ACTIVIST KNOWLEDGES;1
FEMINIST DISABILITY;;;ACTIVIST KNOWLEDGES;1
FEMINIST FERTILITY;;;ACTIVIST KNOWLEDGES;1
FEMINIST FRONTIER;;;ACTIVIST KNOWLEDGES;1
FEMINIST GLOBAL;;;ACTIVIST KNOWLEDGES;1
FEMINIST IDEALS;;;ACTIVIST KNOWLEDGES;1
FEMINIST LEADERSHIP;;;ACTIVIST KNOWLEDGES;1
FEMINIST LEGAL;;;ACTIVIST KNOWLEDGES;1
FEMINIST METHODOLOGIES;;;ACTIVIST KNOWLEDGES;1
FEMINIST ORGANIZATIONS;;;ACTIVIST KNOWLEDGES;1
FEMINIST POLITICAL;;;ACTIVIST KNOWLEDGES;1
FEMINIST POLITICMAKING;;;ACTIVIST KNOWLEDGES;1
FEMINIST POLITICS;;;ACTIVIST KNOWLEDGES;1
FEMINIST PRAXES;;;ACTIVIST KNOWLEDGES;1
FEMINIST QUEER;;;;1
FEMINIST REFERENCES;;;ACTIVIST KNOWLEDGES;1
FEMINIST RETHINKING;;;ACTIVIST KNOWLEDGES;1
FEMINIST SOLIDARITIES;;;ACTIVIST KNOWLEDGES;1
FEMINIST SOLIDARITY;;;ACTIVIST KNOWLEDGES;1
FEMINIST SPATIAL;;;ACTIVIST KNOWLEDGES;1
FEMINIST STORYTELLING;;;ACTIVIST KNOWLEDGES;1
FEMINIST STRUGGLES;;;ACTIVIST KNOWLEDGES;1
FEMINIST STUDIES;;;ACTIVIST KNOWLEDGES;1
FEMINIST SUBJECTIVITIES;;;ACTIVIST KNOWLEDGES;1
FEMINIST VIEW;;;ACTIVIST KNOWLEDGES;1
FEMINISTINNEN HELFEN;;;ACTIVIST KNOWLEDGES;1
FEMINISTS WIEDERHERSTELLUNG;;;ACTIVIST KNOWLEDGES;1
FERAL SOCIALITY;;;;1
FERTILITY AWARENESS;;;;1
FERTILITY CARE;;;FERTILITY CARE;1
FERTILITY CENTRE;;;FERTILITY CARE;1
FERTILITY CHILDBIRTH;;;;1
FERTILITY CLINIC;;;FERTILITY CARE;1
FERTILITY CLINICS;;;FERTILITY CARE;1
FERTILITY INTENTIONS;;;;1
FERTILITY PREFERENCES;;;FERTILITY CARE;1
FERTILITY VIDAS;;;;1
FERTILITY-A HUMAN;;;;1
FETAL ANOMALIES;;;;1
FETAL FETISH;;;;1
FETAL PERSONHOOD;;;;1
FICTION MIEKO;;;;1
FICTION RE-RIGHTING;;;;1
FIELD INFANT;;;;1
FIERCEST ADVOCATE;;;;1
FIGHTING MAD;;;;1
FIGO POSITION;;;;1
FILIPINO WOMENS;;;;1
FINAL FEMINIST;;;;1
FINALLY HOME;;;;1
FINANCIALIZED FUTURES;;;;1
FINNISH CONSERVATIVE;;;;1
FINNISH SPORT;;;;1
FIRE WOMENS;;;;1
FLEXIBLE FEMINISM;;;;1
FLORENCE KEITH-ROACHS;;;;1
FOETUS CEMETERIES;;;;1
FOLK HEALERS;;;;1
FOOD INSECURITY;;;FOOD SOVEREIGNTY;1
FOOD SOVEREIGNTY;;;FOOD SOVEREIGNTY;1
FORBIDDEN WOMBS;;;;1
FORCED STERILISATION;;;BIRTH CONTROL;1
FORCEDCOERCED STERILIZATION;;;BIRTH CONTROL;1
FORCING WOMEN;;;;1
FORENSIC EXAMS;;;;1
FORMATION CALIFORNIA;;;;1
FORMATIVE AUDIENCE;;;;1
FORMATIVE EVALUATION;;;;1
FORMATIVE RESEARCH;;;;1
FORUM RHETORICS;;;;1
FORWARD MOVING;;;;1
FORWARD PRECONCEPTION;;;;1
FORWARD STANDING;;;;1
FORWARD TRANSFORMATIVE;;;;1
FRAMEWORK Ψ;CARACTER ESPECIAL;;;1
FRAMEWORK IA;;;;1
FRAMEWORK MODEL;;;;1
FRAMING POST-ABORTION;;;ABORTION STUDY;1
FRAMING REPRODUCTION;;;;1
FRANCISCO BAY;;;;1
FRANZMANNS BODIES;;;;1
FRAY LIMITATIONS;;;;1
FREE ABORTION;;;;1
FREEDOM DAY;;;;1
FREEDOM PROCREATIONAL;;;ACTIVIST KNOWLEDGES;1
FREEZING DEBATES;;;;1
FREEZING TECHNOLOGY;;;ASSISTED REPRODUCTION;1
FROZEN EMBRYOS;;;ASSISTED REPRODUCTION;1
FULL-SPECTRUM REPRODUCTIVE;;;;1
FUND APPLICANTS;;;;1
FUNDING FAMILY;;;;1
FUTILE UNBORN;;;;1
FUTURE ANCESTORS;;;;1
FUTURE HOME;;;;1
FUTURE INFORMED;;;;1
FUTURE RESEARCH;;;;1
FUTURES DECOLONIAL;;;;1
FUTURES DISCUSSING;;;;1
FUTURES POLYGENIC;;;;1
FUTURISM TRUST;;;;1
GAMBIA WINNER;;;;1
GAMETOGENESIS HOPES;;;;1
GAP WOMENS;;;;1
GARDASIL IMMIGRANT;;;;1
GÊNERO DESAFIOS;CARACTER ESPECIAL;;;1
GENDER EQUALITY;;;;1
GENDER ESSENTIALISM;;;;1
GENDER GEOGRAPHIES;;;;1
GENDER INCLUSIVITY;;;;1
GENDER INEQUALITIES;;;;1
GENDER INEQUALITY;;;;1
GENDER JUSTICE;;;;1
GENDER MINORITIES;;;;1
GENDER NONBINARY;;;;1
GENDER POLITICS;;;;1
GENDER RELATIONS;;;;1
GENDER REPRESENTATIONS;;;;1
GENDER ROLES;;;;1
GENDER THEORETICAL;;;;1
GENDER TRANSFORMATIVE;;;;1
GENDER TRANSGRESSION;;;;1
GENDERED JUSTICE;;;;1
GENDERED NECROPOLITICS;;;;1
GENDERED PERSPECTIVES;;;;1
GENDERED RACIAL;;;;1
GENDERED RESPONSIBILITY;;;;1
GENDERED VICTIMHOOD;;;;1
GENDERED VIOLENCE;;;;1
GENDERED WELL-BEING;;;;1
GENDER-INCLUSIVE CARE;;;;1
GENDER-INCLUSIVE LANGUAGE;;;;1
GENDER-INCLUSIVE POLYMATERNALISM;;;;1
GENDERING TOXIC;;;;1
GENE AGE;;;;1
GENE-EDITING SPHERE;;;;1
GENERATION IMPACT;;;;1
GENERATION INTEGRATING;;;;1
GENETIC BIOTECHNOLOGIES;;;ASSISTED REPRODUCTION;1
GENETIC COUNSELORS;;;;1
GENETIC DISEASE;;;;1
GENETIC MEDICINE;;;;1
GENETIC TECHNOLOGIES;;;ASSISTED REPRODUCTION;1
GENETIC TECHNOLOGIESI;;;ASSISTED REPRODUCTION;1
GENITAL CUTTING;;;;1
GEOGRAPHY COMPLICATING;;;;1
GEORGIA USA;;;;1
GEORGIAS HEARTBEAT;;;;1
GERMAN-LANGUAGE FICTION;;;;1
GESCHLECHTERN DURCH;;;;1
GESTATIONAL LABOR;;;;1
GIG ECONOMY;;;;1
GIRIBALA DHOWLI;;;;1
GIRLS COMMENT;;;;1
GIRLS IMPACTED;;;;1
GIRLS MATTER;;;;1
GIRLS MATTERING;;;;1
GITANAS EL;;;;1
GLOBAL ABORTION;;;;1
GLOBAL BODY;;;;1
GLOBAL CONCERN;;;;1
GLOBAL CONTEXT;;;;1
GLOBAL CONVERSATION;;;;1
GLOBAL FAMILY;;;;1
GLOBAL FEMINIST;;;;1
GLOBAL IMPACT;;;;1
GLOBAL INTIMACY;;;;1
GLOBAL NEOLIBERALISM;;;;1
GLOBAL PERSPECTIVE;;;;1
GLOBAL PERSPECTIVES;;;;1
GLOBAL WOMENS;;;;1
GLOBALIZED ERA;;;;1
GOALS ASSESSMENT;;1;;1
GOLD MINING;;;;1
GONADAL VARIATIONS;;;;1
GOTHIC PREGNANCY;;;;1
GOVERNMENT TECHNOLOGIES;;;;1
GRAFTED TREES;;;;1
GREEN CRIMINOLOGY;;;;1
GROUNDI EPILOGUE;;;;1
GROWING RACIAL;;;;1
GUNTHER TEUBNER;;;;1
GYNECOLOGICAL GAZE;;;;1
GYNECOLOGY PAG;;;;1
