"SR";"TI";"TI_TM"
"LEVEY M, 2024, GEND PLACE CULT";"IUD COUNSELING AND THE GYNECOLOGICAL GAZE: THE BIOPOLITICS OF CLINICAL SHARED DECISION-MAKING IN THE US";"IUD COUNSELING;GYNECOLOGICAL GAZE;CLINICAL SHARED;SHARED DECISION-MAKING"
"LEWIN A, 2024, WOMENS HEALTH";"``THE THING IN MY ARM'': PROVIDING CONTRACEPTIVE SERVICES FOR ADOLESCENTS IN PRIMARY CARE";"ARM PROVIDING;PROVIDING CONTRACEPTIVE;CONTRACEPTIVE SERVICES;PRIMARY CARE"
"LEWIS J, 2020, PALGRAVE Handb. Crit. MENSTRUATION Stud.";"TO WIDEN THE CYCLE: ARTISTS ENGAGE THE MENSTRUAL CYCLE AND REPRODUCTIVE JUSTICE";"CYCLE ARTISTS;ARTISTS ENGAGE;MENSTRUAL CYCLE;REPRODUCTIVE JUSTICE"
"LEWIS S, 2018, DIALOGUES HUM GEOGR";"CYBORG UTERINE GEOGRAPHY COMPLICATING `CARE' AND SOCIAL REPRODUCTION";"CYBORG UTERINE;UTERINE GEOGRAPHY;GEOGRAPHY COMPLICATING;COMPLICATING CARE;SOCIAL REPRODUCTION"
"LEWIS S, 2018, GEND PLACE CULT";"INTERNATIONAL SOLIDARITY IN REPRODUCTIVE JUSTICE: SURROGACY AND GENDER-INCLUSIVE POLYMATERNALISM";"INTERNATIONAL SOLIDARITY;REPRODUCTIVE JUSTICE;JUSTICE SURROGACY;GENDER-INCLUSIVE POLYMATERNALISM"
"LEWIS SA, 2018, DIALOGUES HUM GEOGR";"A COMRADELY POLITICS OF GESTATIONAL WORK MILITANT PARTICULARISM, SYMPOETIC SCHOLARSHIP AND THE LIMITS OF GENEROSITY";"COMRADELY POLITICS;MILITANT PARTICULARISM;PARTICULARISM SYMPOETIC;SYMPOETIC SCHOLARSHIP"
"LI T, 2023, RISK MANAG HEALTHC POLICY";"OBSTACLES TO EXERCISING REPRODUCTIVE RIGHTS FOR SINGLE WOMEN IN CHINA AND LEGAL RECOMMENDATIONS";"EXERCISING REPRODUCTIVE;REPRODUCTIVE RIGHTS;SINGLE WOMEN;LEGAL RECOMMENDATIONS"
"LIAUW J, 2021, PLOS ONE";"REPRODUCTIVE HEALTHCARE IN PRISON: A QUALITATIVE STUDY OF WOMEN'S EXPERIENCES AND PERSPECTIVES IN ONTARIO, CANADA";"REPRODUCTIVE HEALTHCARE;QUALITATIVE STUDY;WOMENS EXPERIENCES;ONTARIO CANADA"
"LIBERTY A, 2022, OBSTET GYNECOL";"HUMAN MILK-EXPRESSION TECHNOLOGIES A PRIMER FOR OBSTETRICIANS";"HUMAN MILK-EXPRESSION;MILK-EXPRESSION TECHNOLOGIES"
"LIDDELL JL, 2019, AFFIL J WOMEN SOC WORK";"REPRODUCTIVE JUSTICE AND THE SOCIAL WORK PROFESSION: COMMON GROUNDS AND CURRENT TRENDS";"REPRODUCTIVE JUSTICE;PROFESSION COMMON;COMMON GROUNDS;CURRENT TRENDS"
"LIDDELL JL, 2021, AFFILIA FEMINIST INQUIRY SOC WORK";"``SHE'S THE CENTER OF MY LIFE, THE ONE THAT KEEPS MY HEART OPEN'': ROLES AND EXPECTATIONS OF NATIVE AMERICAN WOMEN";"NATIVE AMERICAN;AMERICAN WOMEN"
"LIDDELL JL, 2021, INT J ENVIRON RES PUBLIC HEALTH";"``SOMETHING WAS ATTACKING THEM AND THEIR REPRODUCTIVE ORGANS'': ENVIRONMENTAL REPRODUCTIVE JUSTICE IN AN INDIGENOUS TRIBE IN THE UNITED STATES GULF COAST";"REPRODUCTIVE ORGANS;ORGANS ENVIRONMENTAL;ENVIRONMENTAL REPRODUCTIVE;REPRODUCTIVE JUSTICE;INDIGENOUS TRIBE;GULF COAST"
"LIDDELL JL, 2022, AFFILIA FEMINIST INQUIRY SOC WORK";"BARRIERS TO ACHIEVING REPRODUCTIVE JUSTICE FOR AN INDIGENOUS GULF COAST TRIBE";"ACHIEVING REPRODUCTIVE;REPRODUCTIVE JUSTICE;INDIGENOUS GULF;GULF COAST;COAST TRIBE"
"LIDDELL JL, 2022, SEX RES SOC POLICY";"THE DEVELOPMENT OF THE FRAMEWORK OF INTEGRATED REPRODUCTIVE AND SEXUAL HEALTH THEORIES (FIRSHT) TO CONTEXTUALIZE INDIGENOUS WOMEN'S HEALTH EXPERIENCES";"INTEGRATED REPRODUCTIVE;SEXUAL HEALTH;HEALTH THEORIES;THEORIES FIRSHT;CONTEXTUALIZE INDIGENOUS;INDIGENOUS WOMENS;WOMENS HEALTH;HEALTH EXPERIENCES"
"LIDDELL JL, 2023, STUD SOC JUSTICE";"``YOU DO WHAT YOU HAVE TO DO FOR THE BABIES'': THE PREGNANCY EXPERIENCES OF NATIVE AMERICAN WOMEN";"PREGNANCY EXPERIENCES;NATIVE AMERICAN;AMERICAN WOMEN"
"LIDDELL JL, 2023, Stud. Soc. Justice WOMEN'S Hist. Rev.";"“YOU DO WHAT YOU HAVE TO DO FOR THE BABIES”: THE PREGNANCY EXPERIENCES OF NATIVE AMERICAN WOMEN LESBIAN MOTHERS IN TWENTY-FIRST CENTURY AUSTRALIA: CREATING A POLITICAL SUBJECT POSITION";"PREGNANCY EXPERIENCES;NATIVE AMERICAN;AMERICAN WOMEN;WOMEN LESBIAN;LESBIAN MOTHERS;TWENTY-FIRST CENTURY;CENTURY AUSTRALIA;AUSTRALIA CREATING;POLITICAL SUBJECT;SUBJECT POSITION"
"LIDDELL JL, 2023, WOMEN STUD INT FORUM";"BIRTH CONTROL ACCESS EXPERIENCES FOR MEMBERS OF AN INDIGENOUS TRIBE IN THE GULF COAST";"BIRTH CONTROL;CONTROL ACCESS;ACCESS EXPERIENCES;INDIGENOUS TRIBE;GULF COAST"
"LIDDELL JL, 2024, SOC JUSTICE RES";"ENVIRONMENTAL REPRODUCTIVE JUSTICE, INDIGENOUS HEALTH KNOWLEDGE AND INDIGENOUS WOMEN ON THE CLIMATE FRONTLINES";"ENVIRONMENTAL REPRODUCTIVE;REPRODUCTIVE JUSTICE;JUSTICE INDIGENOUS;INDIGENOUS HEALTH;HEALTH KNOWLEDGE;INDIGENOUS WOMEN;CLIMATE FRONTLINES"
"LIDDELL JL, 2024, VIOLENCE AGAINST WOMEN";"``I NEED HELP WITH THE ABORTION, SO I WON'T HAVE TO EVER SEE OR HEAR FROM HIM AGAIN'': RELATIONSHIP BARRIERS FACED BY ABORTION FUND APPLICANTS IN THE ROCKY MOUNTAIN WEST";"RELATIONSHIP BARRIERS;BARRIERS FACED;ABORTION FUND;FUND APPLICANTS;ROCKY MOUNTAIN;MOUNTAIN WEST"
"LIDDELL S, 2023, WOMEN'S Stud. Int. Forum Qual. Health Res.";"BIRTH CONTROL ACCESS EXPERIENCES FOR MEMBERS OF AN INDIGENOUS TRIBE IN THE GULF COAST EXPLORING BLACK WOMEN’S PATHWAYS TO MOTHERHOOD WITHIN A REPRODUCTIVE JUSTICE FRAMEWORK";"BIRTH CONTROL;CONTROL ACCESS;ACCESS EXPERIENCES;INDIGENOUS TRIBE;GULF COAST;COAST EXPLORING;EXPLORING BLACK;BLACK WOMENS;WOMENS PATHWAYS;REPRODUCTIVE JUSTICE;JUSTICE FRAMEWORK"
"LIMON C, 2016, AUST FEM STUD";"FROM SURROGACY TO ECTOGENESIS: REPRODUCTIVE JUSTICE AND EQUAL OPPORTUNITY IN NEOLIBERAL TIMES";"ECTOGENESIS REPRODUCTIVE;REPRODUCTIVE JUSTICE;EQUAL OPPORTUNITY;NEOLIBERAL TIMES"
"LIN CS, 2016, J. Soc. POLITICAL Psychol.";"ENGENDERING THE PREFIGURATIVE: FEMINIST PRAXES THAT BRIDGE A POLITICS OF PREFIGUREMENT AND SURVIVAL";"PREFIGURATIVE FEMINIST;FEMINIST PRAXES"
"LINDGREN Y, 2022, CORNELL LAW Rev.";"WHEN PATIENTS ARE THEIR OWN DOCTORS: ROE V. WADE IN AN ERA OF SELF-MANAGED CARE";"DOCTORS ROE;SELF-MANAGED CARE"
"LINDQUIST K, 2018, CAN J FAM YOUTH";"A DIGITAL SNAPSHOT - A MEDIA ARTS JUSTICE TOOLKIT APPROACH TO SUPPORT INDIGENOUS SELF-DETERMINING YOUTH";"DIGITAL SNAPSHOT;MEDIA ARTS;ARTS JUSTICE;JUSTICE TOOLKIT;TOOLKIT APPROACH;SUPPORT INDIGENOUS;INDIGENOUS SELF-DETERMINING;SELF-DETERMINING YOUTH"
"LITTLEJOHN KE, 2024, Fight. MAD: Resist. END ROE V WADE";"FIGHTING MAD: RESISTING THE END OF ROE V. WADE";"FIGHTING MAD;MAD RESISTING"
"LIVENGOOD NC, 2024, CAN REV AM STUD";"REPRODUCTIVE JUSTICE, RACE, AND THE PRESCIENCE OF THE PAST";"REPRODUCTIVE JUSTICE;JUSTICE RACE"
"LODER CM, 2020, Teach. Learn. Med.";"BRIDGING THE EXPERTISE OF ADVOCATES AND ACADEMICS TO IDENTIFY REPRODUCTIVE JUSTICE LEARNING OUTCOMES";"IDENTIFY REPRODUCTIVE;REPRODUCTIVE JUSTICE;JUSTICE LEARNING;LEARNING OUTCOMES"
"LOGAN R, 2021, CURR HIV/AIDS REP";"LESSONS LEARNED FROM LONGER ACTING REVERSIBLE CONTRACEPTION APPLIED TO LONGER ACTING HIV PREVENTION TECHNOLOGIES";"LESSONS LEARNED;ACTING REVERSIBLE;REVERSIBLE CONTRACEPTION;CONTRACEPTION APPLIED;ACTING HIV;HIV PREVENTION;PREVENTION TECHNOLOGIES"
"LONG DD, 2024, J TEACH SOC WORK";"THE SOCIAL WORK CODE OF ETHICS: SUPPORTING REPRODUCTIVE JUSTICE FOR WOMEN";"ETHICS SUPPORTING;SUPPORTING REPRODUCTIVE;REPRODUCTIVE JUSTICE"
"LOWE P, 2022, GLOB PUBLIC HEALTH";"LONG-ACTING REVERSIBLE CONTRACEPTION: TARGETING THOSE JUDGED TO BE UNFIT FOR PARENTHOOD IN THE UNITED STATES AND THE UNITED KINGDOM";"LONG-ACTING REVERSIBLE;REVERSIBLE CONTRACEPTION;CONTRACEPTION TARGETING;UNITED KINGDOM"
"LU CF, 2024, MATERN CHILD HEALTH J";"OBSTACLES TO ACCEPTING CARE: UNDERSTANDING WHY OBSTETRIC PATIENTS LEAVE AGAINST MEDICAL ADVICE";"ACCEPTING CARE;CARE UNDERSTANDING;OBSTETRIC PATIENTS;PATIENTS LEAVE;MEDICAL ADVICE"
"LU SH, 2022, AOTEAROA N Z SOC WORK";"REPRODUCTIVE JUSTICE AND PEOPLE WITH INTELLECTUAL DISABILITIES IN TAIWAN: AN ISSUE FOR SOCIAL WORK";"REPRODUCTIVE JUSTICE;INTELLECTUAL DISABILITIES"
"LUMSDEN S, 2016, AM INDIAN CULT RES J";"REPRODUCTIVE JUSTICE, SOVEREIGNTY, AND INCARCERATION: PRISON ABOLITION POLITICS AND CALIFORNIA INDIANS";"REPRODUCTIVE JUSTICE;JUSTICE SOVEREIGNTY;INCARCERATION PRISON;PRISON ABOLITION;ABOLITION POLITICS;CALIFORNIA INDIANS"
"LUNA Z, 2009, Soc. Without BORDERS";"FROM RIGHTS TO JUSTICE: WOMEN OF COLOR CHANGING THE FACE OF US REPRODUCTIVE RIGHTS ORGANIZING";"JUSTICE WOMEN;COLOR CHANGING;REPRODUCTIVE RIGHTS;RIGHTS ORGANIZING"
"LUNA Z, 2013, ANNU REV LAW SOC SCI";"REPRODUCTIVE JUSTICE";"REPRODUCTIVE JUSTICE"
"LUNA Z, 2016, GEND SOC";"``TRULY A WOMEN OF COLOR ORGANIZATION'': NEGOTIATING SAMENESS AND DIFFERENCE IN PURSUIT OF INTERSECTIONALITY";"COLOR ORGANIZATION;ORGANIZATION NEGOTIATING;NEGOTIATING SAMENESS"
"LUNA Z, 2017, MOBILIZATION";"WHO SPEAKS FOR WHOM? (MIS) REPRESENTATION AND AUTHENTICITY IN SOCIAL MOVEMENTS";"MIS REPRESENTATION;SOCIAL MOVEMENTS"
"LUNA Z, 2018, Reprod. Biomed. Soc. Online";"BLACK CELEBRITIES, REPRODUCTIVE JUSTICE AND QUEERING FAMILY: AN EXPLORATION";"BLACK CELEBRITIES;CELEBRITIES REPRODUCTIVE;REPRODUCTIVE JUSTICE;QUEERING FAMILY"
"LUNA Z, 2020, REPRODUCTIVE RIGHTS AS HUMAN RIGHTS: WOMEN OF COLOR AND THE FIGHT FOR REPRODUCTIVE JUSTICE";"REPRODUCTIVE RIGHTS AS HUMAN RIGHTS <I>WOMEN OF COLOR AND THE FIGHT FOR REPRODUCTIVE JUSTICE</I> INTRODUCTION";"REPRODUCTIVE RIGHTS;HUMAN RIGHTS;RIGHTS IWOMEN;REPRODUCTIVE JUSTICEI;JUSTICEI INTRODUCTION"
"LUNA Z, 2020, REPRODUCTIVE RIGHTS AS HUMAN RIGHTS: WOMEN OF COLOR AND THE FIGHT FOR REPRODUCTIVE JUSTICE-a";"MARCHING TOWARD HUMAN RIGHTS OR REPRODUCTIVE JUSTICE?";"HUMAN RIGHTS;REPRODUCTIVE JUSTICE"
"LUNA Z, 2020, REPRODUCTIVE RIGHTS AS HUMAN RIGHTS: WOMEN OF COLOR AND THE FIGHT FOR REPRODUCTIVE JUSTICE-a-b";"REPRODUCTIVE RIGHTS AS HUMAN RIGHTS <I>WOMEN OF COLOR AND THE FIGHT FOR REPRODUCTIVE JUSTICE MAKING UTOPIAS REAL</I> CONCLUSION";"REPRODUCTIVE RIGHTS;HUMAN RIGHTS;RIGHTS IWOMEN;REPRODUCTIVE JUSTICE;UTOPIAS REALI;REALI CONCLUSION"
"LUNA ZT, 2010, SOCIOL INQ";"MARCHING TOWARD REPRODUCTIVE JUSTICE: COALITIONAL (RE) FRAMING OF THE MARCH FOR WOMEN'S LIVES";"REPRODUCTIVE JUSTICE;JUSTICE COALITIONAL;WOMENS LIVES"
"LUNA ZT, 2011, Res. Soc. MOVEMENTS CONFLICTS Chang.";"""THE PHRASE OF THE DAY"": EXAMINING CONTEXTS AND CO-OPTATION OF REPRODUCTIVE JUSTICE ACTIVISM IN THE WOMEN'S MOVEMENT";"DAY EXAMINING;EXAMINING CONTEXTS;REPRODUCTIVE JUSTICE;JUSTICE ACTIVISM;WOMENS MOVEMENT"
"LUSSENDEN A, 2023, CALIF LAW REV";"BLOOD QUANTUM AND THE EVER-TIGHTENING CHOKEHOLD ON TRIBAL CITIZENSHIP: THE REPRODUCTIVE JUSTICE IMPLICATIONS OF BLOOD QUANTUM REQUIREMENTS";"BLOOD QUANTUM;EVER-TIGHTENING CHOKEHOLD;TRIBAL CITIZENSHIP;REPRODUCTIVE JUSTICE;JUSTICE IMPLICATIONS;BLOOD QUANTUM;QUANTUM REQUIREMENTS"
"LYNCH I, 2024, SEX RES SOC POLICY";"VULNERABLE YOUTH OR VULNERABILISING CONTEXTS? A CRITICAL REVIEW OF YOUTH SEXUAL AND REPRODUCTIVE HEALTH AND RIGHTS (SRHR) POLICIES IN EASTERN AND SOUTHERN AFRICA";"VULNERABLE YOUTH;VULNERABILISING CONTEXTS;CRITICAL REVIEW;YOUTH SEXUAL;REPRODUCTIVE HEALTH;RIGHTS SRHR;SRHR POLICIES;SOUTHERN AFRICA"
"MACHADO M, 2023, EXPONENTIAL INEQUALITIES: Equal. LAW TIMES Crisis";"COVID-19 AND EXPONENTIAL REPRODUCTIVE RIGHTS-RELATED INEQUALITIES IN BRAZIL";"EXPONENTIAL REPRODUCTIVE;REPRODUCTIVE RIGHTS-RELATED;RIGHTS-RELATED INEQUALITIES"
"MACLEOD CI, 2016, Int. Handb. Adolesc. Health Dev. Public Health Response";"‘ADOLESCENT’ SEXUAL AND REPRODUCTIVE HEALTH: CONTROVERSIES, RIGHTS, AND JUSTICE";"ADOLESCENT SEXUAL;REPRODUCTIVE HEALTH;HEALTH CONTROVERSIES;CONTROVERSIES RIGHTS"
"MACLEOD CI, 2017, CULT HEALTH SEX";"ARTICULATING REPRODUCTIVE JUSTICE THROUGH REPARATIVE JUSTICE: CASE STUDIES OF ABORTION IN GREAT BRITAIN AND SOUTH AFRICA";"ARTICULATING REPRODUCTIVE;REPRODUCTIVE JUSTICE;REPARATIVE JUSTICE;SOUTH AFRICA"
"MACLEOD CI, 2019, CULT HEALTH SEX";"EXPANDING REPRODUCTIVE JUSTICE THROUGH A SUPPORTABILITY REPARATIVE JUSTICE FRAMEWORK: THE CASE OF ABORTION IN SOUTH AFRICA";"EXPANDING REPRODUCTIVE;REPRODUCTIVE JUSTICE;SUPPORTABILITY REPARATIVE;REPARATIVE JUSTICE;JUSTICE FRAMEWORK;SOUTH AFRICA"
"MACLEOD CI, 2020, CRIT PUBLIC HEATH";"YOUNG PREGNANT WOMEN AND PUBLIC HEALTH: INTRODUCING A CRITICAL REPARATIVE JUSTICE/CARE APPROACH USING SOUTH AFRICAN CASE STUDIES";"PREGNANT WOMEN;PUBLIC HEALTH;HEALTH INTRODUCING;CRITICAL REPARATIVE;REPARATIVE JUSTICECARE;JUSTICECARE APPROACH;SOUTH AFRICAN"
"MACLEOD CI, 2020, Camb. Handb. Int. Psychol. Women";"FERTILITY, CHILDBIRTH, AND PARENTING: DEFINING SEXUAL AND GENDER RELATIONS";"FERTILITY CHILDBIRTH;PARENTING DEFINING;DEFINING SEXUAL;GENDER RELATIONS"
"MACLEOD CI, 2022, GLOB PUBLIC HEALTH";"REPRODUCTIVE HEALTH SYSTEMS ANALYSES AND THE REPARATIVE REPRODUCTIVE JUSTICE APPROACH: A CASE STUDY OF UNSAFE ABORTION IN LESOTHO";"REPRODUCTIVE HEALTH;HEALTH SYSTEMS;SYSTEMS ANALYSES;REPARATIVE REPRODUCTIVE;REPRODUCTIVE JUSTICE;JUSTICE APPROACH;UNSAFE ABORTION"
"MACLEOD CI, 2023, GLOB PUBLIC HEALTH";"COMPARATIVE SITUATIONAL ANALYSIS OF COMPREHENSIVE ABORTION CARE IN FOUR SOUTHERN AFRICAN COUNTRIES";"COMPARATIVE SITUATIONAL;SITUATIONAL ANALYSIS;COMPREHENSIVE ABORTION;ABORTION CARE;SOUTHERN AFRICAN;AFRICAN COUNTRIES"
"MACNAMARA N, 2024, CULT HEALTH SEX";"HEALTHCARE PROFESSIONALS' ATTITUDES TOWARDS THE TERMINATION OF PREGNANCY: A QUALITATIVE ANALYSIS OF SURVEY DATA IN NORTHERN IRELAND";"HEALTHCARE PROFESSIONALS;PROFESSIONALS ATTITUDES;QUALITATIVE ANALYSIS;SURVEY DATA;NORTHERN IRELAND"
"MADHOK S, 2014, CULT HEALTH SEX";"ON REPRODUCTIVE JUSTICE: `DOMESTIC VIOLENCE', RIGHTS AND THE LAW IN INDIA";"REPRODUCTIVE JUSTICE;JUSTICE DOMESTIC;DOMESTIC VIOLENCE;VIOLENCE RIGHTS"
"MAHALINGAM R, 2014, Reprod. Soc. Interdiscip. READINGS";"FEMALE FETICIDE AND INFANTICIDE: IMPLICATIONS FOR REPRODUCTIVE JUSTICE";"FEMALE FETICIDE;INFANTICIDE IMPLICATIONS;REPRODUCTIVE JUSTICE"
"MAIERHOFER W, 2022, PALGRAVE Handb. Reprod. Justice Lit.";"REPRODUCTIVE RIGHTS AND REPRODUCTIVE JUSTICE IN RECENT GERMAN-LANGUAGE FICTION AND FILM";"REPRODUCTIVE RIGHTS;REPRODUCTIVE JUSTICE;RECENT GERMAN-LANGUAGE;GERMAN-LANGUAGE FICTION"
"MAJEWSKA E, 2024, Crit. TIMES";"ABORTION IN THE STATE OF EXCEPTION WEAK RESISTANCE AND UNHEROIC REPRODUCTIVE SOLIDARITY IN POLAND";"EXCEPTION WEAK;WEAK RESISTANCE;UNHEROIC REPRODUCTIVE;REPRODUCTIVE SOLIDARITY"
"MAKHLOUF MD, 2024, AMA J. ETHICS";"CAN MEDICAL-LEGAL PARTNERSHIPS DO MORE TO ADVANCE REPRODUCTIVE JUSTICE AFTER DOBBS?";"MEDICAL-LEGAL PARTNERSHIPS;ADVANCE REPRODUCTIVE;REPRODUCTIVE JUSTICE"
"MALONEY S, 2021, MIDWIFERY";"FACTORS ASSOCIATED WITH GIVING BIRTH AT ADVANCED MATERNAL AGE IN THE UNITED STATES";"GIVING BIRTH;ADVANCED MATERNAL;MATERNAL AGE"
"MALVERN C, 2018, AFR J REPROD HEALTH";"CULTURAL DE-COLONIZATION VERSUS LIBERAL APPROACHES TO ABORTION IN AFRICA: THE POLITICS OF REPRESENTATION AND VOICE";"CULTURAL DE-COLONIZATION;DE-COLONIZATION VERSUS;VERSUS LIBERAL;LIBERAL APPROACHES"
"MAMO 2018 REPROD BIOMED SOC ONLINE";"Queering reproduction in transnational bio-economies.";"QUEERING REPRODUCTION;TRANSNATIONAL BIO-ECONOMIES"
"MAMO L, 2015, J FAM ISSUES";"QUEER INTIMACIES AND STRUCTURAL INEQUALITIES: NEW DIRECTIONS IN STRATIFIED REPRODUCTION";"QUEER INTIMACIES;STRUCTURAL INEQUALITIES;STRATIFIED REPRODUCTION"
"MANDELL R, 2019, SOC MOV STUD";"BREAKING FREE FROM SILOES: INTERSECTIONALITY AS A COLLECTIVE ACTION FRAME TO ADDRESS TOXIC EXPOSURES AND REPRODUCTIVE HEALTH";"BREAKING FREE;SILOES INTERSECTIONALITY;COLLECTIVE ACTION;ACTION FRAME;ADDRESS TOXIC;TOXIC EXPOSURES;REPRODUCTIVE HEALTH"
"MANIZZA ROSZAK S, 2024, GREEN Lett.";"‘THE LAST TIME IT SNOWS ON EARTH’: ENVIRONMENTAL VIOLENCE, GOTHIC PREGNANCY, AND MULTIVALENT LOSS IN LOUISE ERDRICH’S FUTURE HOME OF THE LIVING GOD";"EARTH ENVIRONMENTAL;ENVIRONMENTAL VIOLENCE;VIOLENCE GOTHIC;GOTHIC PREGNANCY;MULTIVALENT LOSS;LOUISE ERDRICHS;ERDRICHS FUTURE;FUTURE HOME;LIVING GOD"
"MANN ES, 2015, CULT HEALTH SEX";"BEYOND THE DISCOURSE OF REPRODUCTIVE CHOICE: NARRATIVES OF PREGNANCY RESOLUTION AMONG LATINA/O TEENAGE PARENTS";"REPRODUCTIVE CHOICE;CHOICE NARRATIVES;PREGNANCY RESOLUTION;LATINAO TEENAGE;TEENAGE PARENTS"
"MANN ES, 2018, SYMB INTERACT";"AGENCY-WITHOUT-CHOICE: THE VISUAL RHETORICS OF LONG-ACTING REVERSIBLE CONTRACEPTION PROMOTION";"VISUAL RHETORICS;LONG-ACTING REVERSIBLE;REVERSIBLE CONTRACEPTION;CONTRACEPTION PROMOTION"
"MANN ES, 2022, CONTRACEPTION";"DOCTOR KNOWS BEST? PROVIDER BIAS IN THE CONTEXT OF CONTRACEPTIVE COUNSELING IN THE UNITED STATES";"PROVIDER BIAS;CONTRACEPTIVE COUNSELING"
"MANN ES, 2022, SSM-QUAL RES HEALTH";"THE POWER OF PERSUASION: NORMATIVE ACCOUNTABILITY AND CLINICIANS' PRACTICES OF CONTRACEPTIVE COUNSELING";"PERSUASION NORMATIVE;NORMATIVE ACCOUNTABILITY;CLINICIANS PRACTICES;CONTRACEPTIVE COUNSELING"
"MANN ES, 2024, WOMEN'S Reprod. Health";"MEDICAID-INSURED WOMEN’S PERCEPTIONS OF OBSTETRIC CARE QUALITY: IMPLICATIONS FOR REPRODUCTIVE HEALTH EQUITY IN THE UNITED STATES";"MEDICAID-INSURED WOMENS;WOMENS PERCEPTIONS;OBSTETRIC CARE;CARE QUALITY;QUALITY IMPLICATIONS;REPRODUCTIVE HEALTH;HEALTH EQUITY"
"MANN S 2023 INT J ENVIRON RES PUBLIC HEALTH";"Period Poverty from a Public Health and Legislative Perspective";"PERIOD POVERTY;PUBLIC HEALTH;LEGISLATIVE PERSPECTIVE"
"MANN S, 2023, Int. J. Environ. Res. Public Health J. Moral Theol.";"PERIOD POVERTY FROM A PUBLIC HEALTH AND LEGISLATIVE PERSPECTIVE WISDOM FROM A REPRODUCTIVE JUSTICE FRAMEWORK";"PERIOD POVERTY;PUBLIC HEALTH;LEGISLATIVE PERSPECTIVE;PERSPECTIVE WISDOM;REPRODUCTIVE JUSTICE;JUSTICE FRAMEWORK"
"MANZE M, 2024, HEALTH PROMOT PRACT";"SEXUAL AND REPRODUCTIVE HEALTH ADVOCACY SUCCESSES, FAILURES, AND NEEDS IN THE UNITED STATES: PERSPECTIVES FROM KEY STAKEHOLDERS";"REPRODUCTIVE HEALTH;HEALTH ADVOCACY;ADVOCACY SUCCESSES;SUCCESSES FAILURES;KEY STAKEHOLDERS"
"MAREA CX, 2024, HEALTH EQUITY";"NAVIGATING HOMELESSNESS ASSISTANCE WHILE PREGNANT: A RAPID QUALITATIVE RESEARCH-TO-POLICY COLLABORATION IN WASHINGTON, DC";"NAVIGATING HOMELESSNESS;HOMELESSNESS ASSISTANCE;RAPID QUALITATIVE;QUALITATIVE RESEARCH-TO-POLICY;RESEARCH-TO-POLICY COLLABORATION;WASHINGTON DC"
"MARTING DE, 2022, PALGRAVE Handb. Reprod. Justice Lit.";"STATE TERROR AND THE DESTRUCTION OF FAMILIES FOR REPRODUCTIVE “MANAGEMENT” IN THREE ARGENTINE FILMS";"REPRODUCTIVE MANAGEMENT;ARGENTINE FILMS"
"MARTINS DA SILVA PARO HB, 2023, DEV WORLD BIOETH";"BOTTOM-UP ADVOCACY STRATEGIES TO ABORTION ACCESS DURING THE COVID-19 PANDEMIC: LESSONS LEARNED TOWARDS REPRODUCTIVE JUSTICE IN BRAZIL";"BOTTOM-UP ADVOCACY;ADVOCACY STRATEGIES;ABORTION ACCESS;COVID- PANDEMIC;PANDEMIC LESSONS;LESSONS LEARNED;REPRODUCTIVE JUSTICE"
"MASON C, 2013, FRONTIERS";"HOW NOT TO PIMP OUT REPRODUCTIVE JUSTICE: ADVENTURES IN EDUCATION, ACTIVISM, AND ACCOUNTABILITY";"REPRODUCTIVE JUSTICE;JUSTICE ADVENTURES;EDUCATION ACTIVISM"
"MASON C, 2013, FRONTIERS-J WOMEN STUD";"HOW NOT TO PIMP OUT REPRODUCTIVE JUSTICE <I>ADVENTURES IN EDUCATION, ACTIVISM, AND ACCOUNTABILITY</I>";"REPRODUCTIVE JUSTICE;JUSTICE IADVENTURES;EDUCATION ACTIVISM"
"MATHIAS H, 2024, BMC PREGNANCY CHILDBIRTH";"PROGRAMS AND PRACTICES THAT SUPPORT PREGNANT PEOPLE WHO USE DRUGS' ACCESS TO SEXUAL AND REPRODUCTIVE HEALTH CARE IN CANADA: A SCOPING REVIEW";"SUPPORT PREGNANT;PREGNANT PEOPLE;DRUGS ACCESS;REPRODUCTIVE HEALTH;HEALTH CARE;SCOPING REVIEW"
"MATSUZAKA S, 2024, J PUBLIC CHILD WELF";"REPRODUCTIVE JUSTICE FOR YOUNG BLACK WOMEN AGING OUT OF FOSTER CARE";"REPRODUCTIVE JUSTICE;BLACK WOMEN;WOMEN AGING;FOSTER CARE"
"MATTHEIS N, 2022, CHILD-GLOB J CHILD RES";"MAKING KIN, NOT BABIES? TOWARDS CHILDIST KINSHIP IN THE ``ANTHROPOCENE''";"CHILDIST KINSHIP"
"MAXWELL D, 2022, INT J ENVIRON RES PUBLIC HEALTH";"AMERICAN INDIAN MOTHERHOOD AND HISTORICAL TRAUMA: KEETOOWAH EXPERIENCES OF BECOMING MOTHERS";"AMERICAN INDIAN;INDIAN MOTHERHOOD;HISTORICAL TRAUMA;TRAUMA KEETOOWAH;KEETOOWAH EXPERIENCES"
"MAYS A, 2019, Optim. IUD Deliv. Adolesc. YOUNG ADULTS: Couns. Place. Manag.";"IUD COUNSELING: WHAT’S CHOICE GOT TO DO WITH IT?";"IUD COUNSELING;COUNSELING WHATS;WHATS CHOICE"
