"";"SR";"TC";"PY";"TI";"AB";"DI";"DT"
"896";"CREAR-PERRY J, 2023, BIRTHING JUSTICE: Black Women Pregnancy CHILDBIRTH: Second. Ed.";0;2023;"EXPANDING A TRANSNATIONAL MOVEMENT FOR SEXUAL AND REPRODUCTIVE WELLBEING";"INTERSECTIONAL INEQUALITY AND DISCRIMINATION ARE FACED BY BLACK WOMEN ACROSS THE GLOBE RESULTING IN INEQUITIES RELATED TO HEALTH, EMPLOYMENT, LITERACY, AND GENDER-BASED VIOLENCE. THESE INEQUALITIES ARE REFLECTED BY GLOBAL INEQUALITIES IN MATERNAL OUTCOMES. THIS CHAPTER ARGUES THAT THERE IS AN URGENT NEED FOR A REPRODUCTIVE JUSTICE MOVEMENT THAT CENTERS DECOLONIAL TRANSNATIONAL SOLIDARITY. A TRANSNATIONAL MOVEMENT THAT THEORIZES, PRACTICES, CREATES AND BUILDS SHEPHERDS OF KNOWLEDGE THAT HIGHLIGHTS OUR COLLECTIVE MULTIPLICITIES OF BEINGS, THINKING, KNOWLEDGE, SPIRITUALITIES AND LIVES, ALSO BECAUSE THE PROCESSES OF EXPLOITATION, EXTERMINATION, ENSLAVEMENT, AND DEHUMANIZATION WE FACE ARE INTERCONNECTED GLOBALLY. ANTI-BLACKNESS, GENDER OPPRESSION, AND COLONIALITY ARE GLOBAL PHENOMENA. OUR LIBERATION IS TIED TO BLACK PEOPLE ACROSS THE GLOBE. ANTI-BLACKNESS AND GENDER OPPRESSION ARE INTERSECTING GLOBAL PHENOMENA THAT SIGNIFICANTLY IMPACT INDIVIDUALS’ LIFE CHANCES. © 2024 SELECTION AND EDITORIAL MATTER, ALICIA D. BONAPARTE AND JULIA CHINYERE OPARAH.";"10.4324/9781003425670-32";"BOOK CHAPTER"
"897";"LAUREANO BI, 2023, PEOPLE’S Book Hum. Sex. Expand. Sexol. Arch.";0;2023;"THE PEOPLE’S BOOK OF HUMAN SEXUALITY: EXPANDING THE SEXOLOGY ARCHIVE";"THIS COLLECTION AIMS TO FILL IN THE DEEP GAPS OF VITAL CONTRIBUTIONS THAT HAVE BEEN ERASED FROM THE SEXUALITY FIELD, ILLUMINATING THE HISTORICAL AND CURRENT WORK, STRATEGIES, SOLUTIONS, AND THOUGHTS FROM SEXOLOGISTS THAT HAVE BEEN EXCLUDED UNTIL NOW. HISTORICALLY, THE US SEXUALITY FIELD HAS NOT INCLUDED THE EXPERIENCES AND WISDOM OF RACIALIZED SEXOLOGISTS, EDUCATORS, THERAPISTS, OR PROFESSIONALS. INSTEAD, SEXUALITY PROFESSIONALS HAVE BEEN TRAINED USING A COLOR-FREE NARRATIVE THAT DOES AN INJUSTICE BY EXCLUDING THEIR WORK AS WELL AS FAILING TO OFFER A FULLER EXAMINATION OF HOW THEY HAVE EXPANDED THE FIELD AND HELD IT ACCOUNTABLE. THE RESULT OF THIS WHOLESALE ERASURE IS THAT TODAY MANY SEXUALITY PROFESSIONALS UNDERSTAND THESE CONTRIBUTIONS AS EXTRA OR TANGENTIAL, AND NOT PART OF THE FULL VISION AND HISTORY OF THE FIELD OF SEXOLOGY. HIGHLIGHTING THE VOICES AND EXPERIENCES OF THOSE WHO HAVE BEEN RACIALIZED AND THUS EXCLUDED, ISOLATED, ERASED, AND YET HAVE STILL EMERGED AS VITAL CONTRIBUTORS TO THE NORTH AMERICAN SEXUALITY FIELD, THIS TEXT OFFERS A SIGNIFICANT SHIFT IN THE WAY WE LEARN AND UNDERSTAND SEXUALITY, ONE THAT IS EXPANSIVE AND COMMITTED TO LIBERATION, HEALING, EQUITY, AND JUSTICE. DIVIDED INTO THREE SECTIONS ADDRESSING SAFETY, MOVEMENT, AND ORAL NARRATIVES, THE CONTRIBUTORS OFFER INSIGHTFUL AND PROVOKING CHAPTERS THAT DISCUSS REPRODUCTIVE JUSTICE, LGBTQ THEMES, RACIAL AND SOCIAL JUSTICE, AND GENDER, AND DISABILITY JUSTICE, DEMONSTRATING HOW THESE SEXOLOGISTS HAVE BEEN LEADERS, PAST AND PRESENT, IN CHANGE AND PROGRESSION. THIS FUTURISTIC TEXTBOOK INCLUDES CORRECTION, ENGAGED READING, AND LESSON PLANS WHICH OFFERS COMMUNITY WORKERS AND TRAINERS AN OPPORTUNITY TO USE THE TEXT IN THEIR NON-TRADITIONAL LEARNING ENVIRONMENTS. CREATING A PATH FORWARD THAT MANY BELIEVED WAS IMPOSSIBLE, THIS ACCESSIBLE BOOK IS FOR ALL WHO WORK IN AND AROUND SEXUALITY. IT WELCOMES INQUIRY AND CELEBRATES OUR HUMANITY FOR THE WORLDS WE ARE BUILDING NOW AND FOR THE FUTURE. © 2024 SELECTION AND EDITORIAL MATTER, BIANCA I. LAUREANO; INDIVIDUAL CHAPTERS, THE CONTRIBUTORS.";"10.4324/9781003181927";"BOOK"
"898";"HILLARD PJA, 2023, J. Pediatr. Adolesc. Gynecol.";0;2023;"CELEBRATING DIVERSITY IN PEDIATRIC AND ADOLESCENT GYNECOLOGY (PAG)";NA;"10.1016/j.jpag.2023.04.001";"EDITORIAL"
"899";"RENEGAR V, 2023, REFIGURING Mother. Beyond Biol.";1;2023;"REFIGURING MOTHERHOOD BEYOND BIOLOGY";"THIS BOOK UNPACKS AND INTERROGATES DOMINANT CONSTRUCTIONS OF MOTHERING, MAKING USE OF INTERDISCIPLINARY, IDEOLOGICAL AND THEORETICAL PERSPECTIVES TO INVESTIGATE HOW NEW RHETORICS OF MOTHERING CAN EXPAND THE REALM OF MATERNAL CARE-GIVERS BEYOND THE BIOLOGICAL DEFINITIONS OF MOTHERHOOD. THIS DIVERSE COLLECTION IS AT THE CUTTING-EDGE OF RHETORIC, FEMINISM, AND MOTHERHOOD STUDIES, AND THE CHAPTERS CHALLENGE THE CONFINES OF BIOLOGICAL PARENTING AS HETERONORMATIVE WITHIN THE NEO-LIBERAL NUCLEAR FAMILY. THE CONTRIBUTORS EXAMINE, HOW DESPITE THE DIVERSITY OF PARENTAL RELATIONSHIPS, MANY ARE EXCLUDED BY THE UNDERSTANDING OF MOTHERS BIOLOGICALLY TIED TO THEIR CHILDREN. THE VOLUME SEEKS TO EXPOSE THE UNDERPINNINGS OF BIOLOGICAL PRIMACY AND ARGUES THAT 21ST-CENTURY FAMILIES AND FAMILIAL CIRCUMSTANCES ARE ILL-SERVED BY BIOLOGICAL IDEOLOGY. TOPICS INCLUDE RE-IMAGINING QUEER BLACK MOTHERHOOD, CHICANA FEMINIST APPROACHES TO REPRODUCTIVE JUSTICE, THE COMMERCIALIZATION AND MEDICALIZATION OF INFERTILITY, AND ABLEISM AND MOTHERHOOD. THIS IS A UNIQUE AND FASCINATING BOOK SUITABLE FOR STUDENTS AND SCHOLARS IN GENDER STUDIES, SEXUALITY STUDIES, COMMUNICATION STUDIES, SOCIOLOGY, AND CULTURAL STUDIES. © 2023 SELECTION AND EDITORIAL MATTER, VALERIE RENEGAR AND KIRSTI COLE; INDIVIDUAL CHAPTERS, THE CONTRIBUTORS. ALL RIGHTS RESERVED.";"10.4324/9781003311799";"BOOK"
"900";"WATSON A, 2023, NEW WAVE Br. Women Play. 2008 2021";1;2023;"POPULATION CONCERNS, REPRODUCTIVE JUSTICE, AND GENDERED PERSPECTIVES IN FLORENCE KEITH-ROACH'S EGGS (2015), VIVIENNE FRANZMANN'S BODIES (2017) AND MAUD DROMGOOLE'S 3 BILLION SECONDS (2018)";"SINCE THE THEORIES OF THOMAS ROBERT MALTHUS,THE DEBATE ON POPULATION CONTROL HAS BEEN PREDOMINANTLY DICTATED BY MALE PERSPECTIVES. WITH ECOLOGICAL CONCERNS BECOMING MORE PRONOUNCED IN THE BRITISH PUBLIC CONSCIOUSNESS OVER THE 2010S, ONSTAGE REPRESENTATIONS OF POPULATION CONTROL AS APOTENTIAL SOLUTION TO CLIMATE CRISIS INCREASED IN VOLUME. HOWEVER, THE MOST POPULAR EXAMPLES OF THESE PLAYS WERE, AGAIN, MOSTLYFROM CIS MALE-IDENTIFYING CREATIVES. SEEKING TO REDRESS THE GENDEREDBIAS ON BRITISH THEATRE'S DEPICTION OF POPULATION ARGUMENTS, THIS CHAPTER USES FEMINIST SCHOLARSHIP TO ANALYSE THREE PRODUCTIONS BY FEMALE WRITERS AND DIRECTORS THAT DEAL WITH CONCERNS OF POPULATIONISM AND REPRODUCTIVE JUSTICE. THE FIRST OF THESE IS MAUD DROMGOOLE'S 3 BILLION SECONDS (2018). THE PRODUCTION IS EXPLORED THROUGH THE CONCEPT OF DEMOPOPULATIONISM, WHICH DICTATES THAT SOME PARTS OF A NATION'S DEMOGRAPHY SHOULD BE COERCED, DISSUADED, OR FORCIBLY PREVENTED FROM REPRODUCTION. 3 BILLION SECONDS IS ARGUED TO DEMONSTRATE THAT SUCH TAXONOMIC-INFORMED LOGIC LEADS TO ACYNICAL DEHUMANISATION OF OTHERS. THE SECOND CASE STUDY IS FLORENCE KEITH-ROACH'S EGGS (2015). USING THE FRAMEWORK OF REPRODUCTIVE JUSTICE-WHICH HIGHLIGHTS WHETHER INDIVIDUALS HAVE THE FREE RIGHT TO CHOOSE WHETHER TO HAVE CHILDREN OR NOT, AND IF THEIR DECISIONS ARE SUPPORTED AND RESPECTED-THE ANALYSIS IS CENTRED ON HOW THE TWO FEMALE PROTAG-ONISTS OF EGGS DO NOT RECEIVE FULL REPRODUCTIVE JUSTICE IN THE NEOLIBERAL SOCIETY OF 2010S BRITAIN. THE FINAL SECTION EXPLORES VIVIENNE FRANZMANN'S BODIES (2017) AND REFLECTS ON THE THREE PLAYS' USE OF FORM: PARTICULARLY, THEIR USESOF ""FLUID REALISM"" AND SATIRE TO DEPICT POPULATIONISM, WITH BODIES SHOWING THE ASSUMED SUPERIORITY OF CITIZENS IN THE GLOBAL NORTH THROUGH ITS NARRATIVE OF SURROGACY. THE CONCLUSION THEN UNDERLINES HOW THESE PLAYS WARN AGAINST THE MASCULINISED BIASES OF NEOLIBERAL AND POPULATIONIST IDEOLOGIES. © 2023 WALTER DE GRUYTER GMBH, BERLIN/BOSTON. ALL RIGHTS RESERVED.";"10.1515/9783110796322-003";"BOOK CHAPTER"
"901";"ARUAH DE, 2023, Int. J. Environ. Res. Public Health";2;2023;"TWEETS THAT MATTER: EXPLORING THE SOLUTIONS TO MATERNAL MORTALITY IN THE UNITED STATES DISCUSSED BY ADVOCACY ORGANIZATIONS ON TWITTER";"THIS STUDY INVESTIGATED MATERNAL MORTALITY SOLUTIONS MENTIONED ON TWITTER BY MATERNAL HEALTH ADVOCACY ORGANIZATIONS IN THE UNITED STATES. USING QUALITATIVE CONTENT ANALYSIS, WE EXAMINED TWEETS FROM 20 ADVOCACY ORGANIZATIONS AND FOUND THAT THE MAJORITY OF THE TWEETS FOCUSED ON POLICY, HEALTHCARE, COMMUNITY, AND INDIVIDUAL SOLUTIONS. THE MOST TWEETED POLICY SOLUTIONS INCLUDE TWEETS ADVOCATING SIGNING BIRTH EQUITY, PAID FAMILY LEAVE, MEDICAID EXPANSION, AND REPRODUCTIVE JUSTICE BILLS, WHEREAS THE MOST TWEETED COMMUNITY SOLUTIONS WERE FUNDING COMMUNITY ORGANIZATIONS, HIRING COMMUNITY DOULAS, AND BUILDING COMMUNITY HEALTH CENTERS. THE MOST TWEETED INDIVIDUAL SOLUTIONS WERE STORYTELLING, SELF-ADVOCACY, AND SELF-CARE. THESE FINDINGS PROVIDE INSIGHTS INTO THE PERSPECTIVES AND PRIORITIES OF ADVOCACY ORGANIZATIONS WORKING TO ADDRESS MATERNAL MORTALITY IN THE UNITED STATES AND CAN INFORM FUTURE EFFORTS TO COMBAT THIS CRITICAL PUBLIC HEALTH ISSUE. © 2023 BY THE AUTHORS.";"10.3390/ijerph20095617";"ARTICLE"
"902";"MORE ES, 2023, ROUTLEDGE Handb. Sex. Gend. Health RIGHTS: Second. Ed.";0;2023;"‘SEX INVOLVES SOMETHING YOU ARE, NOT JUST SOMETHING YOU DO’: MARY CALDERONE AND THE FIGHT FOR SEXUAL HEALTH";"THIS CHAPTER DESCRIBES THE LIFE, CAREER AND LEGACY OF MARY STEICHEN CALDERONE (1904-1998), MEDICAL DIRECTOR OF THE PLANNED PARENTHOOD FEDERATION OF AMERICA, PRINCIPAL FOUNDER OF SIECUS (THE SEX INFORMATION AND EDUCATION COUNCIL OF THE UNITED STATES), AND A PIONEERING LEADER IN THE MOVEMENT TO TRANSFORM ‘FAMILY LIFE EDUCATION’ INTO WHAT IS TODAY KNOWN AS ‘COMPREHENSIVE SEXUALITY EDUCATION’. CALDERONE TIRELESSLY ENCOURAGED PARENTS TO BE OPEN AND HONEST WITH THEIR CHILDREN ABOUT THE GOODNESS OF HEALTHY SEXUALITY. CALDERONE AND SIECUS WERE SUBJECTED TO VITRIOLIC ATTACKS BY ULTRA-RIGHT-WING RELIGIOUS AND POLITICAL GROUPS BEGINNING IN THE LATE 1960S. SHE IS TODAY, HOWEVER, REMEMBERED BY SUPPORTERS OF SEXUAL AND REPRODUCTIVE JUSTICE AND COMPREHENSIVE SEX EDUCATION FOR HER COURAGEOUS BELIEFS IN THE RIGHT TO EXPERIENCE SEXUAL PLEASURE, TO RECEIVE SCIENTIFICALLY ACCURATE, AGE-APPROPRIATE SEX EDUCATION, AND TO THE NEED TO TEACH YOUNG PEOPLE HOW TO MAKE RESPONSIBLE SEXUAL DECISIONS. © 2024 SELECTION AND EDITORIAL MATTER, PETER AGGLETON, ROB COVER, CARMEN H. LOGIE, CHRISTY E. NEWMAN AND RICHARD PARKER; INDIVIDUAL CHAPTERS, THE CONTRIBUTORS.";"10.4324/9781003278405-4";"BOOK CHAPTER"
"903";"NABER N, 2023, Fem. Stud.";0;2023;"REPRODUCTIVE JUSTICE FROM TURTLE ISLAND TO PALESTINE";NA;"10.1353/fem.2023.a915930";"SHORT SURVEY"
"904";"GAY ED, 2023, BIRTHING JUSTICE: Black Women Pregnancy CHILDBIRTH: Second. Ed.";0;2023;"BLACK MAMAS MATTER: HOW BLACK WOMEN BUILT A GLOBAL MOVEMENT FOR BLACK MATERNAL HEALTH, RIGHTS, AND JUSTICE";"AFTER THE 2010 MIDTERM ELECTIONS, DURING WHICH THE ANTI-CHOICE MOVEMENT GAINED A FOOTHOLD IN STATE LEGISLATURES NATIONWIDE, POLICIES REDUCING ACCESS TO HEALTH CARE SWEPT THE NATION. LAWMAKERS UTILIZING IDEOLOGY, NOT SCIENCE, FORCED REPRODUCTIVE HEALTH CLINICS TO CLOSE, THUS REDUCING ACCESS TO HEALTH CARE WHICH HAS HAD A DIRECT IMPACT ON MATERNAL AND INFANT HEALTH OUTCOMES. THE CONCEPT OF VALUING BLACK LIVES RESONATED SO DEEPLY WE NAMED OUR OWN MOVEMENT AFTER BLACK LIVES MATTER, FOUNDED AND COINED BY THREE BLACK WOMEN. REPRODUCTIVE JUSTICE IS A FRAMEWORK CREATED BY BLACK WOMEN IN 1994 THAT CENTERS ON THREE HUMAN RIGHTS VALUES. THE BLACK MAMAS MATTER MOVEMENT ACKNOWLEDGES AND SHOWS GRATITUDE TO THE BLACK WOMEN AND FEMMES WHO CREATED REPRODUCTIVE JUSTICE AND BIRTH JUSTICE, AS WELL AS THE BLACK LIVES MATTER MOVEMENT, AND TO ALL OF THOSE WHO HAVE ORGANIZED AND CARED FOR OUR COMMUNITIES WITH THESE FRAMEWORKS AS THEIR GUIDE. © 2024 SELECTION AND EDITORIAL MATTER, ALICIA D. BONAPARTE AND JULIA CHINYERE OPARAH.";"10.4324/9781003425670-31";"BOOK CHAPTER"
"905";"BONAPARTE AD, 2023, BIRTHING JUSTICE: Black Women Pregnancy CHILDBIRTH: Second. Ed.";0;2023;"BIRTHING JUSTICE: BLACK WOMEN, PREGNANCY, AND CHILDBIRTH: SECOND EDITION";"THE SECOND EDITION OF THIS PATHBREAKING, WIDELY TAUGHT BOOK OFFERS SIX NEW CHAPTERS, ON BREASTFEEDING AND BLACK INFANT HEALTH; BLACK BIRTHING DURING COVID; BLACK DOULAS RETHINKING BIRTHING PRACTICES; THE RECENT BUILDUP OF A US NATIONAL MOVEMENT; CHILDBIRTH IN ZANZIBAR; AND EXPANDING THE GLOBAL MOVEMENT FOR SEXUAL AND REPRODUCTIVE WELL-BEING. OTHER CHAPTERS ARE UPDATED THROUGHOUT. BIRTHING JUSTICE PUTS BLACK WOMEN’S VOICES AT THE CENTER OF THE DEBATE ON WHAT SHOULD BE DONE TO FIX THE BROKEN MATERNAL CARE SYSTEM. IT FOREGROUNDS BLACK WOMEN’S AGENCY IN THE BIRTH JUSTICE MOVEMENT. FIRST PUBLISHED IN 2016, BIRTHING JUSTICE IS A SEMINAL TEXT FOR THOSE INTERESTED IN MATERNAL HEALTHCARE, REPRODUCTIVE JUSTICE, HEALTH EQUITY, AND INTERSECTIONAL RACIAL JUSTICE, ESPECIALLY IN COURSES ON GENDER STUDIES, BLACK STUDIES, PUBLIC HEALTH, AND TRAINING PROGRAMS FOR MIDWIVES AND OB/GYNS. © 2024 SELECTION AND EDITORIAL MATTER, ALICIA D. BONAPARTE AND JULIA CHINYERE OPARAH.";"10.4324/9781003425670";"BOOK"
"906";"KNIGHT A, 2023, Prenat. Genet. Test. Abort. Disabil. Justice";2;2023;"PRENATAL GENETIC TESTING, ABORTION, AND DISABILITY JUSTICE";"THE ROUTINIZATION OF NON-INVASIVE PRENATAL GENETIC TESTING (NIPT) RAISES URGENT QUESTIONS ABOUT WOMEN’S REPRODUCTIVE AUTONOMY AND DISABILITY RIGHTS. MANY SUPPORTERS DEFEND NIPT ON THE GROUNDS THAT PRENATAL GENETIC INFORMATION HELPS WOULD-BE PARENTS MAKE BETTER FAMILY PLANNING CHOICES. WE CHALLENGE THAT ASSESSMENT BY SHOWING HOW, UNDER THE CURRENT REGIME OF ABLEISM AND NEOLIBERAL REPROGENETICS, NIPT PROVIDES OPPORTUNITIES FOR INTENSIFIED CONTROL OVER WOMEN’S REPRODUCTIVE DECISIONS. FOCUSING INTENTLY ON THE CASE OF DOWN SYNDROME, THE BOOK DEMONSTRATES HOW SEVERAL FACTORS ENSNARE PROSPECTIVE MOTHERS IN A WEB OF TOUGH CHOICES BY STACKING THE DECK AGAINST THE DECISION TO BRING A CHILD WITH A GENETIC IMPAIRMENT INTO THE WORLD AND PARENT HER WITH DIGNITY, INCLUDING: (1) WIDESPREAD ABLEIST ATTITUDES IN MEDICAL INSTITUTIONS; (2) NEOLIBERAL WELFARE POLICIES THAT PRIVATIZE SOCIAL SERVICES AND THE PROVISION OF CARE; AND (3) OPPRESSIVE SOCIAL NORMS, INCLUDING ABLEIST AND SEXIST ATTITUDES. DRAWING ON FEMINIST POLITICAL THEORY AND CRITICAL DISABILITIES SCHOLARSHIP, WE ADVANCE A CONCEPTION OF RELATIONAL AUTONOMY PREMISED ON PERFECTIONIST LIBERAL NOTIONS OF THE STATE AS A VEHICLE FOR INTERSECTIONAL SOCIAL JUSTICE. OUR GOAL IS TO THEORIZE ABOUT WHICH POLITICAL ARRANGEMENTS WOULD BETTER ENABLE PROSPECTIVE MOTHERS TO DECIDE MORE AUTONOMOUSLY WHETHER THEY WANT TO UNDERGO PRENATAL TESTING, TERMINATE A PREGNANCY FOLLOWING A POSITIVE RESULT, CARRY THE FETUS TO TERM, RAISE A CHILD WITH A DISABILITY, OR CHOOSE ADOPTION. ULTIMATELY, OUR ANALYSIS SUGGESTS THAT GENUINE REPRODUCTIVE AUTONOMY REQUIRES BOTH GOVERNMENTAL RESTRAINT AND ACTIVE GOVERNMENTAL SUPPORT, ARGUING THAT RESTRAINT AND ACTION CAN WORK HAND IN HAND TO PROMOTE REPRODUCTIVE JUSTICE AND DISABILITY RIGHTS. © AMBER KNIGHT AND JOSHUA MILLER 2023.";"10.1093/oso/9780192870957.001.0001";"BOOK"
"907";"TRIPATHI P, 2023, Space Cult. India";1;2023;"REPRODUCTIVE JUSTICE DISCOURSE VIS-À-VIS ABORTION LAW IN INDIA: A CRITICAL REVIEW";"THE NARRATIVE CONCERNING THIRD-WORLD WOMEN HAS LONG BEEN CONSIDERED REGRESSIVE, DISCRIMINATORY, AND MONISTIC. THE LEGAL NARRATIVES, TOO, COULD NOT ESCAPE THE TRADITIONAL TROPE OF IDENTITY ASCRIBED TO WOMEN. THOUGH ESSENTIALLY EMPOWERING, THE PRACTICAL REALISATION OF THE MEDICAL TERMINATION OF PREGNANCY (MTP) ACT OF 1971 COULD NEVER HARNESS A SENSE OF INCLUSIVITY UNTIL THE AMENDMENT OF 2021. BUT THE SEVEN CATEGORIES OF WOMEN INCLUDED IN THE AMENDED ACT DID NOT CONSIDER THE ISSUES OF PREGNANCY ARISING OUT OF A CONSENSUAL SEXUAL ENCOUNTER (CONTRACEPTIVE FAILURE) FOR AN UNMARRIED WOMAN. FOR THE FIRST TIME, THE SUPREME COURT OF INDIA HAS RECOGNISED THE CONCEPT OF AGENCY FOR ALL WOMEN WITHOUT ANY EXTERNAL FACTOR FUNCTIONING AS AN INFLUENCE. THE IDEA OF CHOICE HAS NEVER BEEN CELEBRATED. THUS, IN THE CONTEXT OF CONTEMPORARY INDIA, WHERE THE IDEA OF THE METANARRATIVE OF IDENTITY APPEARS IMMINENT AND THE THIRD-WORLD POSTMODERN FEMINISM CELEBRATES THE IDEALS OF INTERSECTIONALITY, THE LEGAL DISCOURSE OF DECONSTRUCTING THE DIFFERENCE AMONG WOMEN IN THE NAME OF MARITAL STATUS TO STRIP THEM OF THEIR FUNDAMENTAL RIGHTS TO BODILY AUTONOMY AND REPRODUCTIVE JUSTICE NEEDS INTERVENTION. THIS REVIEW PAPER INTENDS TO DIACHRONICALLY APPROACH THE EXISTING DATA OF EMPIRICAL AND CRITICAL RESEARCH ON ABORTION VIS-À-VIS THE HUMAN RIGHTS DISCOURSE IN THE CONTEXT OF INDIAN WOMEN. © 2023 TRIPATHI. THIS IS AN OPEN ACCESS ARTICLE DISTRIBUTED UNDER THE TERMS OF THE CREATIVE COMMONS ATTRIBUTION LICENSE";"10.20896/SACI.V10I4.1301";"REVIEW"
"908";"LIDDELL JL, 2023, Stud. Soc. Justice WOMEN'S Hist. Rev.";1;2023;"“YOU DO WHAT YOU HAVE TO DO FOR THE BABIES”: THE PREGNANCY EXPERIENCES OF NATIVE AMERICAN WOMEN LESBIAN MOTHERS IN TWENTY-FIRST CENTURY AUSTRALIA: CREATING A POLITICAL SUBJECT POSITION";"SETTLER COLONIALISM HAS CONTRIBUTED TO DISPROPORTIONATE REPRODUCTIVE HEALTH DISPARITIES FOR INDIGENOUS PEOPLE, HOWEVER THE MAJORITY OF LITERATURE SURROUNDING PREGNANCY, CENTERS THE EXPERIENCES OF WHITE INDIVIDUALS. THIS PAPER USES DATA FROM A QUALITATIVE STUDY EXPLORING REPRODUCTIVE HEALTH OF INDIGENOUS PERSONS FROM A UNITED STATES GULF COAST TRIBE TO ELUCIDATE THE PREGNANCY EXPERIENCES OF 31 TRIBAL MEMBERS. IN INTERVIEWS, PARTICIPANTS DESCRIBED HOW AND FROM WHOM THEY LEARNED ABOUT PREGNANCY AND BIRTH, THEIR EXPERIENCES WITH MISCARRIAGE AND COMPLICATIONS DURING PREGNANCY, WORKING DURING PREGNANCY AND LACK OF POST-PARTUM OR MATERNITY LEAVE, AND GENERATIONAL CHANGES IN PREGNANCY. THESE FINDINGS HIGHLIGHT THE IMPACT OF PREVIOUS REPRODUCTIVE EXPERIENCES AND FAMILY SUPPORT DURING PREGNANCY FOR WOMEN FROM THIS TRIBE. THE DATA ALSO DRAWS ATTENTION TO THE IMPORTANCE OF PAID LEAVE IN THE POSTPARTUM PERIOD AND PROVIDES AN EXAMPLE OF COLLABORATIVE RESEARCH METHODS WITH INDIGENOUS COMMUNITIES. © (2023). ALL RIGHTS RESERVED. THE CREATION OF A POLITICAL SUBJECT POSITION BASED ON THE IDENTITY ‘LESBIAN MOTHER’ WAS CENTRAL TO THE ACHIEVEMENT OF LAW REFORM REGARDING REPRODUCTION AND FAMILY MATTERS IN AUSTRALIA IN THE TWENTY-FIRST CENTURY. AUTHORS IDENTIFYING AS LESBIAN MOTHERS WROTE SUBMISSIONS TO A RANGE OF PUBLIC INQUIRIES, CRAFTING DETAILED SELF-REPRESENTATIONS AND OFTEN TELLING INTIMATE STORIES OF EVERYDAY EXPERIENCE OF DISCRIMINATION AND MARGINALISATION. THIS ARTICLE UNDERSTANDS THE SUBMISSIONS AS CONSTRAINED BY THE PRACTICES OF POLITICAL SUBJECTIVITY. THEY ARE GOVERNED BY THE RULES OF THE AUTHORITY TO WHICH SUBMISSIONS ARE ADDRESSED, EVEN AS THEY MAKE CLAIMS FOR CHANGE. INVESTIGATION OF AVAILABLE SUBMISSIONS FROM LESBIAN MOTHERS FROM NINE INQUIRIES POINTS TO THE CLASSED AND RACED LIMITS OF THE NORMATIVE POLITICAL SUBJECT WHICH EMERGES AND TO THE PRESENCE OF HISTORICALLY DOMINANT DISCOURSES OF THE GOOD MOTHER AND THE NARROWED IMAGINATION OF THE MARRIAGE EQUALITY MOVEMENT. DIVERSITY IN THE SUBMISSIONS, HOWEVER, ALSO CHALLENGES THE BOUNDARIES OF THE RULES AND AVOIDS UNIVERSAL CONFORMITY TO RESPECTABILITY. THIS ANALYSIS CONTRIBUTES TO THE SCANT HISTORIOGRAPHY OF LESBIAN MOTHER POLITICS IN AUSTRALIA AND TO THE INTERNATIONAL LITERATURE ON QUEER POLITICS AND SEXUAL CITIZENSHIP. IT CAUTIONS AGAINST SIMPLE LIBERAL READINGS OF PROGRESS BASED IN THE ACHIEVEMENT OF RIGHTS AND RECOGNITION FOR NEWLY NORMATIVE POLITICAL SUBJECTS. © 2022 INFORMA UK LIMITED, TRADING AS TAYLOR & FRANCIS GROUP.";"10.26522/ssj.v17i3.4064 10.1080/09612025.2022.2116831";"ARTICLE ARTICLE"
