"";"Term";"Cluster"
"DOCUMENTARY FILM";"DOCUMENTARY FILM";5
"DOCUMENTING REPRODUCTIVE";"DOCUMENTING REPRODUCTIVE";6
"DOMINANT CULTURAL";"DOMINANT CULTURAL";4
"DOUBLE EDGE";"DOUBLE EDGE";1
"DOUBLY ROBUST";"DOUBLY ROBUST";4
"DOULA CARE";"DOULA CARE";2
"DOULAS BLACK";"DOULAS BLACK";2
"DROMGOOLES BILLION";"DROMGOOLES BILLION";4
"DUMP FERAL";"DUMP FERAL";6
"DURCH ANTI-ABTREIBUNGSREFORMEN";"DURCH ANTI-ABTREIBUNGSREFORMEN";5
"DYSFUNCTIONAL POPULATION";"DYSFUNCTIONAL POPULATION";6
"DYSTOPIC CONDITIONS";"DYSTOPIC CONDITIONS";4
"EASY LEGAL";"EASY LEGAL";5
"EASY READ";"EASY READ";4
"ECOFEMINIST COMMUNICATION";"ECOFEMINIST COMMUNICATION";4
"ECOFEMINIST EDUCATION";"ECOFEMINIST EDUCATION";6
"ECOLOGICAL RESISTANCE";"ECOLOGICAL RESISTANCE";4
"ECONOMICALLY MARGINALIZED";"ECONOMICALLY MARGINALIZED";2
"ECTOGENESIS REDISTRIBUTE";"ECTOGENESIS REDISTRIBUTE";4
"ECTOGENESIS REPRODUCTIVE";"ECTOGENESIS REPRODUCTIVE";4
"ECUADOR FICCIONES";"ECUADOR FICCIONES";2
"ECUADORIAN CHILDREN";"ECUADORIAN CHILDREN";4
"EDGES POLITICS";"EDGES POLITICS";6
"EDITING INTERNATIONAL";"EDITING INTERNATIONAL";2
"EGALITARIAN FRAMING";"EGALITARIAN FRAMING";6
"EGG CAPITALISM";"EGG CAPITALISM";4
"EL POSTHUMANISME";"EL POSTHUMANISME";6
"ELEVATING MOTHERS";"ELEVATING MOTHERS";6
"EMBODIED ENCOUNTERS";"EMBODIED ENCOUNTERS";6
"EMBODIED GEOGRAPHIES";"EMBODIED GEOGRAPHIES";4
"EMBODIED REFLECTION";"EMBODIED REFLECTION";4
"EMBODIED RHETORIC";"EMBODIED RHETORIC";6
"EMBODIED TECHNOFEMINIST";"EMBODIED TECHNOFEMINIST";6
"EMBODIED THEORY";"EMBODIED THEORY";6
"EMBODYING RESISTANCE";"EMBODYING RESISTANCE";6
"EMERGENCE INTERSECTIONAL";"EMERGENCE INTERSECTIONAL";2
"EMERGENCY CLINICIANS";"EMERGENCY CLINICIANS";2
"EMERGENCY DEPARTMENT";"EMERGENCY DEPARTMENT";4
"EMERGENCY MEDICINE";"EMERGENCY MEDICINE";2
"EMERGING ADULTHOOD";"EMERGING ADULTHOOD";1
"EMERGING ADULTS";"EMERGING ADULTS";4
"EMERGING CONCEPT";"EMERGING CONCEPT";6
"EMOTIONAL CONSTRUCTION";"EMOTIONAL CONSTRUCTION";5
"EMOTIONALLY PSYCHO";"EMOTIONALLY PSYCHO";5
"EMOTIONS SHAPE";"EMOTIONS SHAPE";2
"EMPLOY FEMINIST";"EMPLOY FEMINIST";2
"EMPLOYER-SPONSORED REPRODUCTION";"EMPLOYER-SPONSORED REPRODUCTION";6
"EMPLOYMENT PROTECTIONS";"EMPLOYMENT PROTECTIONS";1
"EMPOWER MEDICAL";"EMPOWER MEDICAL";5
"EMPOWERING PROCESSES";"EMPOWERING PROCESSES";4
"EMPOWERING ROMA";"EMPOWERING ROMA";3
"EMPOWERMENT EVALUATION";"EMPOWERMENT EVALUATION";3
"EN MUJERES";"EN MUJERES";4
"EN URUGUAY";"EN URUGUAY";1
"ENACTING FEMINIST";"ENACTING FEMINIST";2
"ENACTING REPRODUCTIVE";"ENACTING REPRODUCTIVE";5
"ENDOMETRIAL CANCER";"ENDOMETRIAL CANCER";6
"ENERGIZING RHETORICS";"ENERGIZING RHETORICS";6
"ENGAGING DIY";"ENGAGING DIY";4
"ENGENDERING LEGAL";"ENGENDERING LEGAL";6
"ENHANCE RESEARCH";"ENHANCE RESEARCH";2
"ENHANCING PRENATAL";"ENHANCING PRENATAL";1
"ENHANCING REPRODUCTIVE";"ENHANCING REPRODUCTIVE";5
"ENLIGHTENING REPRODUCTIVE";"ENLIGHTENING REPRODUCTIVE";4
"ENSURE ACCESS";"ENSURE ACCESS";6
"ENSURING ACCESS";"ENSURING ACCESS";5
"ENSURING REPRODUCTIVE";"ENSURING REPRODUCTIVE";4
"ENTANGLING STRUGGLES";"ENTANGLING STRUGGLES";1
"EPIDEMIC CONTROL";"EPIDEMIC CONTROL";4
"EPISTEMIC HETEROGENEITY";"EPISTEMIC HETEROGENEITY";5
"ERA REPRODUCTIVE";"ERA REPRODUCTIVE";4
"ERASE DISABLED";"ERASE DISABLED";5
"ERASURE TRANS";"ERASURE TRANS";1
"ERDRICHS FUTURE";"ERDRICHS FUTURE";4
"ESSENTIAL COMPONENTS";"ESSENTIAL COMPONENTS";1
"ESSENTIALISM REPRODUCTIVE";"ESSENTIALISM REPRODUCTIVE";6
"ESTABLISHING IDENTITY";"ESTABLISHING IDENTITY";4
"ESTABLISHING MEDICATION";"ESTABLISHING MEDICATION";5
"ETHNIC DISPARITIES";"ETHNIC DISPARITIES";1
"ETHNOGRAPHIC EXPLORATIONS";"ETHNOGRAPHIC EXPLORATIONS";6
"ETONOGESTREL SUBDERMAL";"ETONOGESTREL SUBDERMAL";4
"EUROPEAN COUNTRIES";"EUROPEAN COUNTRIES";4
"EVALUATION CLINICS";"EVALUATION CLINICS";1
"EVANGELICAL WOMENS";"EVANGELICAL WOMENS";6
"EVER-TIGHTENING CHOKEHOLD";"EVER-TIGHTENING CHOKEHOLD";3
"EVERYDAY BORDERING";"EVERYDAY BORDERING";6
"EVERYDAY LIVES";"EVERYDAY LIVES";6
"EVERYDAY MIDWIFERY";"EVERYDAY MIDWIFERY";6
"EVERYDAY PRACTICES";"EVERYDAY PRACTICES";2
"EVICTION TRAJECTORIES";"EVICTION TRAJECTORIES";4
"EVIDENCE-BASED SAFER";"EVIDENCE-BASED SAFER";3
"EVIDENCE HARM";"EVIDENCE HARM";3
"EVIDENCE HEALTH";"EVIDENCE HEALTH";1
"EVOLUTION LIMITATIONS";"EVOLUTION LIMITATIONS";3
"EVOLVING CARE";"EVOLVING CARE";4
"EXAMINING OBSTETRIC";"EXAMINING OBSTETRIC";2
"EXAMINING REACTIONS";"EXAMINING REACTIONS";3
"EXAMINING SOCIAL";"EXAMINING SOCIAL";4
"EXAMINING STRUGGLES";"EXAMINING STRUGGLES";4
"EXAMINING UNMET";"EXAMINING UNMET";1
"EXCEPTION WEAK";"EXCEPTION WEAK";6
"EXCEPTIONALISM EXPOSES";"EXCEPTIONALISM EXPOSES";4
"EXERCISING REPRODUCTIVE";"EXERCISING REPRODUCTIVE";2
"EXPANDING ELIGIBILITY";"EXPANDING ELIGIBILITY";4
"EXPANDING PERSPECTIVES";"EXPANDING PERSPECTIVES";4
"EXPANDING REPRODUCTIVE";"EXPANDING REPRODUCTIVE";2
"EXPECTATIONS ADDRESSING";"EXPECTATIONS ADDRESSING";6
"EXPECTATIONS UNMET";"EXPECTATIONS UNMET";3
"EXPERIENCED PRETERM";"EXPERIENCED PRETERM";2
"EXPERIENCES NAVIGATING";"EXPERIENCES NAVIGATING";1
"EXPERIENCING HOMELESSNESS";"EXPERIENCING HOMELESSNESS";1
"EXPERIMENTAL POETICS";"EXPERIMENTAL POETICS";4
"EXPLANATORY MODELS";"EXPLANATORY MODELS";1
"EXPLOITATION EL";"EXPLOITATION EL";6
"EXPLOITATION QUEER";"EXPLOITATION QUEER";4
"EXPLORE NARRATIVES";"EXPLORE NARRATIVES";4
"EXPLORE SEXUAL";"EXPLORE SEXUAL";2
"EXPLORE UNCERTAIN";"EXPLORE UNCERTAIN";4
"EXPLORING BLOOD";"EXPLORING BLOOD";1
"EXPLORING SWEDISH";"EXPLORING SWEDISH";2
"EXPLOTACIÓ REPRODUCTIVA";"EXPLOTACIÓ REPRODUCTIVA";6
"EXPONENTIAL REPRODUCTIVE";"EXPONENTIAL REPRODUCTIVE";4
"EXTINCTION PHOBIA";"EXTINCTION PHOBIA";6
"EXTRACTABILITY CENTRING";"EXTRACTABILITY CENTRING";4
"EXTRACTION ENVIRONMENTAL";"EXTRACTION ENVIRONMENTAL";4
"FACING MEXICAN";"FACING MEXICAN";5
"FACTORS AFFECTING";"FACTORS AFFECTING";1
"FAILURE POLITICAL";"FAILURE POLITICAL";6
"FAITHS VIEW";"FAITHS VIEW";6
"FALLACY DECOLONIZATION";"FALLACY DECOLONIZATION";2
"FAMILIES ARTICLE";"FAMILIES ARTICLE";2
"FAMILIES LIMITING";"FAMILIES LIMITING";1
"FAMILIES READING";"FAMILIES READING";4
"FAMILY CARE";"FAMILY CARE";2
"FAMILY FERTILITY";"FAMILY FERTILITY";4
"FAMILY FORMATION";"FAMILY FORMATION";5
"FAMILY HAPPY";"FAMILY HAPPY";4
"FAMILY IMAGINARIES";"FAMILY IMAGINARIES";5
"FAMILY MEDICINE";"FAMILY MEDICINE";2
"FAMILY POLICING";"FAMILY POLICING";1
"FAMILY THERAPISTS";"FAMILY THERAPISTS";2
"FARM LABOR";"FARM LABOR";4
"FARMING COMMUNITIES";"FARMING COMMUNITIES";4
"FASCIST ENERGIZING";"FASCIST ENERGIZING";6
"FAT REPRODUCTIVE";"FAT REPRODUCTIVE";1
"FAT RISK";"FAT RISK";4
"FAT SHAME";"FAT SHAME";1
"FATNESS FERTILITY";"FATNESS FERTILITY";4
"FEDERALISM DIVIDED";"FEDERALISM DIVIDED";5
"FEDERALLY QUALIFIED";"FEDERALLY QUALIFIED";1
"FEET TREATMENT";"FEET TREATMENT";1
"FEMALE FETICIDE";"FEMALE FETICIDE";4
"FEMALE GENITAL";"FEMALE GENITAL";6
"FEMALE GENITALIA";"FEMALE GENITALIA";4
"FEMALE STERILIZATION";"FEMALE STERILIZATION";6
"FEMALE VICTIMHOOD";"FEMALE VICTIMHOOD";5
"FEMALE VICTIMS";"FEMALE VICTIMS";4
"FEMININE SUBJECTIVITY";"FEMININE SUBJECTIVITY";3
"FEMINIST QUEER";"FEMINIST QUEER";6
"FERAL SOCIALITY";"FERAL SOCIALITY";6
"FERTILITY-A HUMAN";"FERTILITY-A HUMAN";3
"FERTILITY AWARENESS";"FERTILITY AWARENESS";2
"FETAL ANOMALIES";"FETAL ANOMALIES";4
"FETAL FETISH";"FETAL FETISH";4
"FETAL PERSONHOOD";"FETAL PERSONHOOD";4
"FICTION MIEKO";"FICTION MIEKO";6
"FICTION RE-RIGHTING";"FICTION RE-RIGHTING";2
"FIELD INFANT";"FIELD INFANT";4
"FIERCEST ADVOCATE";"FIERCEST ADVOCATE";6
"FIGHTING MAD";"FIGHTING MAD";6
"FIGO POSITION";"FIGO POSITION";4
"FILIPINO WOMENS";"FILIPINO WOMENS";6
"FINAL FEMINIST";"FINAL FEMINIST";2
"FINALLY HOME";"FINALLY HOME";5
"FINANCIALIZED FUTURES";"FINANCIALIZED FUTURES";2
"FINNISH CONSERVATIVE";"FINNISH CONSERVATIVE";5
"FINNISH SPORT";"FINNISH SPORT";1
"FIRE WOMENS";"FIRE WOMENS";4
"FLEXIBLE FEMINISM";"FLEXIBLE FEMINISM";6
"FLORENCE KEITH-ROACHS";"FLORENCE KEITH-ROACHS";4
"FOETUS CEMETERIES";"FOETUS CEMETERIES";6
"FOLK HEALERS";"FOLK HEALERS";5
"FORBIDDEN WOMBS";"FORBIDDEN WOMBS";3
"FORCING WOMEN";"FORCING WOMEN";4
"FORENSIC EXAMS";"FORENSIC EXAMS";1
"FORMATION CALIFORNIA";"FORMATION CALIFORNIA";5
"FORMATIVE AUDIENCE";"FORMATIVE AUDIENCE";1
"FORMATIVE EVALUATION";"FORMATIVE EVALUATION";6
"FORMATIVE RESEARCH";"FORMATIVE RESEARCH";4
"FORUM RHETORICS";"FORUM RHETORICS";4
"FORWARD MOVING";"FORWARD MOVING";6
"FORWARD PRECONCEPTION";"FORWARD PRECONCEPTION";4
"FORWARD STANDING";"FORWARD STANDING";3
"FORWARD TRANSFORMATIVE";"FORWARD TRANSFORMATIVE";3
"FRAMEWORK MODEL";"FRAMEWORK MODEL";3
"FRAMING REPRODUCTION";"FRAMING REPRODUCTION";2
"FRANCISCO BAY";"FRANCISCO BAY";2
"FRANZMANNS BODIES";"FRANZMANNS BODIES";4
"FRAY LIMITATIONS";"FRAY LIMITATIONS";5
"FREE ABORTION";"FREE ABORTION";5
"FREEDOM DAY";"FREEDOM DAY";1
"FULL-SPECTRUM REPRODUCTIVE";"FULL-SPECTRUM REPRODUCTIVE";5
"FUND APPLICANTS";"FUND APPLICANTS";5
"FUNDING FAMILY";"FUNDING FAMILY";2
"FUTILE UNBORN";"FUTILE UNBORN";1
"FUTURE ANCESTORS";"FUTURE ANCESTORS";6
"FUTURE HOME";"FUTURE HOME";4
"FUTURE INFORMED";"FUTURE INFORMED";6
"FUTURE RESEARCH";"FUTURE RESEARCH";1
"FUTURES DECOLONIAL";"FUTURES DECOLONIAL";3
"FUTURES DISCUSSING";"FUTURES DISCUSSING";3
"FUTURES POLYGENIC";"FUTURES POLYGENIC";2
"FUTURISM TRUST";"FUTURISM TRUST";2
"GAMBIA WINNER";"GAMBIA WINNER";1
"GAMETOGENESIS HOPES";"GAMETOGENESIS HOPES";6
"GAP WOMENS";"GAP WOMENS";4
"GARDASIL IMMIGRANT";"GARDASIL IMMIGRANT";6
"GENDER-INCLUSIVE CARE";"GENDER-INCLUSIVE CARE";4
"GENDER-INCLUSIVE LANGUAGE";"GENDER-INCLUSIVE LANGUAGE";1
"GENDER-INCLUSIVE POLYMATERNALISM";"GENDER-INCLUSIVE POLYMATERNALISM";6
"GENDER EQUALITY";"GENDER EQUALITY";4
"GENDER ESSENTIALISM";"GENDER ESSENTIALISM";6
"GENDER GEOGRAPHIES";"GENDER GEOGRAPHIES";6
"GENDER INCLUSIVITY";"GENDER INCLUSIVITY";6
"GENDER INEQUALITIES";"GENDER INEQUALITIES";5
"GENDER INEQUALITY";"GENDER INEQUALITY";4
"GENDER JUSTICE";"GENDER JUSTICE";6
"GENDER MINORITIES";"GENDER MINORITIES";4
"GENDER NONBINARY";"GENDER NONBINARY";6
"GENDER POLITICS";"GENDER POLITICS";2
"GENDER RELATIONS";"GENDER RELATIONS";4
"GENDER REPRESENTATIONS";"GENDER REPRESENTATIONS";4
"GENDER ROLES";"GENDER ROLES";5
"GENDER THEORETICAL";"GENDER THEORETICAL";4
"GENDER TRANSFORMATIVE";"GENDER TRANSFORMATIVE";4
"GENDER TRANSGRESSION";"GENDER TRANSGRESSION";1
"GENDERED JUSTICE";"GENDERED JUSTICE";6
"GENDERED NECROPOLITICS";"GENDERED NECROPOLITICS";5
"GENDERED PERSPECTIVES";"GENDERED PERSPECTIVES";4
"GENDERED RACIAL";"GENDERED RACIAL";1
"GENDERED RESPONSIBILITY";"GENDERED RESPONSIBILITY";4
"GENDERED VICTIMHOOD";"GENDERED VICTIMHOOD";4
"GENDERED VIOLENCE";"GENDERED VIOLENCE";6
"GENDERED WELL-BEING";"GENDERED WELL-BEING";1
"GENDERING TOXIC";"GENDERING TOXIC";4
"GENE-EDITING SPHERE";"GENE-EDITING SPHERE";6
"GENE AGE";"GENE AGE";4
"GENERATION IMPACT";"GENERATION IMPACT";1
"GENERATION INTEGRATING";"GENERATION INTEGRATING";4
"GÊNERO DESAFIOS";"GÊNERO DESAFIOS";4
"GENETIC COUNSELORS";"GENETIC COUNSELORS";2
"GENETIC DISEASE";"GENETIC DISEASE";4
"GENETIC MEDICINE";"GENETIC MEDICINE";4
"GENITAL CUTTING";"GENITAL CUTTING";6
"GEOGRAPHY COMPLICATING";"GEOGRAPHY COMPLICATING";2
"GEORGIA USA";"GEORGIA USA";5
"GEORGIAS HEARTBEAT";"GEORGIAS HEARTBEAT";2
"GERMAN-LANGUAGE FICTION";"GERMAN-LANGUAGE FICTION";4
"GESTATIONAL LABOR";"GESTATIONAL LABOR";3
"GIG ECONOMY";"GIG ECONOMY";6
"GIRIBALA DHOWLI";"GIRIBALA DHOWLI";6
"GIRLS COMMENT";"GIRLS COMMENT";4
"GIRLS IMPACTED";"GIRLS IMPACTED";1
"GIRLS MATTER";"GIRLS MATTER";6
"GIRLS MATTERING";"GIRLS MATTERING";3
"GITANAS EL";"GITANAS EL";4
"GLOBAL ABORTION";"GLOBAL ABORTION";5
"GLOBAL BODY";"GLOBAL BODY";6
"GLOBAL CONCERN";"GLOBAL CONCERN";6
"GLOBAL CONTEXT";"GLOBAL CONTEXT";4
"GLOBAL CONVERSATION";"GLOBAL CONVERSATION";5
"GLOBAL FAMILY";"GLOBAL FAMILY";2
"GLOBAL FEMINIST";"GLOBAL FEMINIST";2
"GLOBAL IMPACT";"GLOBAL IMPACT";5
"GLOBAL INTIMACY";"GLOBAL INTIMACY";6
"GLOBAL NEOLIBERALISM";"GLOBAL NEOLIBERALISM";1
"GLOBAL PERSPECTIVE";"GLOBAL PERSPECTIVE";6
"GLOBAL PERSPECTIVES";"GLOBAL PERSPECTIVES";6
"GLOBAL WOMENS";"GLOBAL WOMENS";2
"GLOBALIZED ERA";"GLOBALIZED ERA";6
"GOLD MINING";"GOLD MINING";4
"GONADAL VARIATIONS";"GONADAL VARIATIONS";6
"GOTHIC PREGNANCY";"GOTHIC PREGNANCY";4
"GOVERNMENT TECHNOLOGIES";"GOVERNMENT TECHNOLOGIES";4
"GRAFTED TREES";"GRAFTED TREES";4
"GREEN CRIMINOLOGY";"GREEN CRIMINOLOGY";2
"GROUNDI EPILOGUE";"GROUNDI EPILOGUE";6
"GROWING RACIAL";"GROWING RACIAL";4
"GUNTHER TEUBNER";"GUNTHER TEUBNER";5
"GYNECOLOGICAL GAZE";"GYNECOLOGICAL GAZE";4
"GYNECOLOGY PAG";"GYNECOLOGY PAG";4
"GYNECOLOGY RESIDENCY";"GYNECOLOGY RESIDENCY";4
"HAGAR SARAH";"HAGAR SARAH";2
"HANDS HIERARCHIES";"HANDS HIERARCHIES";6
"HANDS IMPROVING";"HANDS IMPROVING";5
"HANDS WOMENS";"HANDS WOMENS";6
"HAPPY FAMILY";"HAPPY FAMILY";4
"HASHTAG FEMINISM";"HASHTAG FEMINISM";6
"HAUNTED NORDIC";"HAUNTED NORDIC";4
"HEAL DISTORTED";"HEAL DISTORTED";2
"HEALERS VERSUS";"HEALERS VERSUS";5
"HEALTH CLASSROOM";"HEALTH CLASSROOM";2
"HEALTH COALITION";"HEALTH COALITION";4
"HEALTH HONORING";"HEALTH HONORING";4
"HEALTH INTERNSHIP";"HEALTH INTERNSHIP";1
"HEALTH KNOWLEDGE";"HEALTH KNOWLEDGE";4
"HEALTH NURSING";"HEALTH NURSING";1
"HEALTH PRIORITIZING";"HEALTH PRIORITIZING";1
"HEARTBEAT BILL";"HEARTBEAT BILL";2
"HERBAL ABORTIFACIENTS";"HERBAL ABORTIFACIENTS";6
"HIDDEN MOTHERS";"HIDDEN MOTHERS";6
"HIGH-RISK BODY";"HIGH-RISK BODY";4
"HINDU BALINESE";"HINDU BALINESE";6
"HISPANIC AMERICAN";"HISPANIC AMERICAN";4
"HISPANIC MOTHERS";"HISPANIC MOTHERS";4
"HISTORICAL APPROACH";"HISTORICAL APPROACH";5
"HISTORICAL LESSONS";"HISTORICAL LESSONS";4
"HISTORICAL TRAUMA";"HISTORICAL TRAUMA";3
"HISTORY TRANS";"HISTORY TRANS";5
"HIV-AFFECTED COUPLES";"HIV-AFFECTED COUPLES";3
"HIVAIDS CRISIS";"HIVAIDS CRISIS";6
"HOBBY LOBBY";"HOBBY LOBBY";6
"HOME FEMINIST";"HOME FEMINIST";5
"HOMELESSNESS ASSISTANCE";"HOMELESSNESS ASSISTANCE";6
"HONG KONGS";"HONG KONGS";6
"HOPE RAISED";"HOPE RAISED";5
"HORMONAL METHODS";"HORMONAL METHODS";4
"HORTENSE SPILLERS";"HORTENSE SPILLERS";6
"HUMAN GENOME";"HUMAN GENOME";2
"HUMAN MILK-EXPRESSION";"HUMAN MILK-EXPRESSION";6
"HUMAN SEXUALITY";"HUMAN SEXUALITY";6
"HUMAN SUFFERING";"HUMAN SUFFERING";6
"HUMAN TRAFFICKING";"HUMAN TRAFFICKING";4
"HUMANITIES CONSORTIUM";"HUMANITIES CONSORTIUM";1
"HUMANIZING ACTS";"HUMANIZING ACTS";5
"HYDE AMENDMENT";"HYDE AMENDMENT";5
"HYPERTENSIVE DISORDERS";"HYPERTENSIVE DISORDERS";1
"HYSTERICAL SOLIDARITY";"HYSTERICAL SOLIDARITY";4
"IA DAILY";"IA DAILY";5
"IA HOUSE";"IA HOUSE";6
"IA REPRODUCTIVE";"IA REPRODUCTIVE";2
"IA VISION";"IA VISION";4
"IAN ECOFEMINIST";"IAN ECOFEMINIST";2
"IAND GENETIC";"IAND GENETIC";4
"IAND WHITE";"IAND WHITE";2
"IANDI POPULATION";"IANDI POPULATION";6
"ICAN DEMONSTRATION";"ICAN DEMONSTRATION";1
"ICE HEALTH";"ICE HEALTH";1
"IDEALIST RHETORIC";"IDEALIST RHETORIC";5
"IDEATH STRANDINGI";"IDEATH STRANDINGI";6
"IDENTIFY REPRODUCTIVE";"IDENTIFY REPRODUCTIVE";2
"IDENTITY RESPONSE";"IDENTITY RESPONSE";5
"IDISABILITYI IAND";"IDISABILITYI IAND";4
"IEMPOWERING WOMEN";"IEMPOWERING WOMEN";2
"IESPANTA CIGUENASI";"IESPANTA CIGUENASI";2
"ILLEGALIZED MIGRANT";"ILLEGALIZED MIGRANT";2
"ILLNESS DIAGNOSES";"ILLNESS DIAGNOSES";1
"ILLUMINATING SOLIDARITY";"ILLUMINATING SOLIDARITY";2
"ILORETTA ROSS";"ILORETTA ROSS";2
"IMAGES SHAPES";"IMAGES SHAPES";5
"IMAGINATION ADDRESSING";"IMAGINATION ADDRESSING";1
"IMAGINED CONSEQUENCES";"IMAGINED CONSEQUENCES";5
"IMAGINING CHILDREN";"IMAGINING CHILDREN";6
"IMAGINING FUTURES";"IMAGINING FUTURES";5
"IMAGINING REPRODUCTIVE";"IMAGINING REPRODUCTIVE";4
"IMARRIAGEI IAND";"IMARRIAGEI IAND";2
"IMMATERIAL INTIMACY";"IMMATERIAL INTIMACY";3
"IMMIGRANT WOMEN";"IMMIGRANT WOMEN";6
"IMMOBILITY SPATIAL";"IMMOBILITY SPATIAL";5
"IMONEYI ISEXI";"IMONEYI ISEXI";2
"IMPEDES PROGRESS";"IMPEDES PROGRESS";1
"IMPROVED PATIENT-CENTERED";"IMPROVED PATIENT-CENTERED";6
"IMPROVEMENT APPROACH";"IMPROVEMENT APPROACH";1
"IMPROVING COMMUNITY";"IMPROVING COMMUNITY";2
"IMYCOPLASMA GENITALIUMI";"IMYCOPLASMA GENITALIUMI";2
"INCEST EXCEPTIONS";"INCEST EXCEPTIONS";5
"INCLUDING DISABLED";"INCLUDING DISABLED";5
"INCLUDING REPRODUCTIVE";"INCLUDING REPRODUCTIVE";6
"INCORPORATING ACTIVIST-ORIENTED";"INCORPORATING ACTIVIST-ORIENTED";2
"INCREASES TENFOLD";"INCREASES TENFOLD";6
"INCREASINGLY ONLINE";"INCREASINGLY ONLINE";2
"INDIA JUDGEMENT";"INDIA JUDGEMENT";3
"INDIA TRACING";"INDIA TRACING";5
"INDIA TREADING";"INDIA TREADING";1
"INDIAN CHILD";"INDIAN CHILD";4
"INDIAN COMMUNITY";"INDIAN COMMUNITY";2
"INDIAN MOTHERHOOD";"INDIAN MOTHERHOOD";3
"INDIAN SURROGACY";"INDIAN SURROGACY";2
"INDIAN WOMENS";"INDIAN WOMENS";3
"INDIAS POPULATION";"INDIAS POPULATION";6
"INDIVIDUAL HETEROGENEITY";"INDIVIDUAL HETEROGENEITY";4
"INDIVIDUAL IMPLICATIONS";"INDIVIDUAL IMPLICATIONS";2
"INDUSTRIAL SECTORS";"INDUSTRIAL SECTORS";4
"INFERTILITY ADVOCACY";"INFERTILITY ADVOCACY";6
"INFORM ACTION";"INFORM ACTION";1
"INFORMAL URBAN";"INFORMAL URBAN";4
"INFORMS RACIAL";"INFORMS RACIAL";4
"INFOVEILLANCE STUDY";"INFOVEILLANCE STUDY";1
"INFRASTRUCTURE DEFICITS";"INFRASTRUCTURE DEFICITS";1
"INFUSING FEMINIST";"INFUSING FEMINIST";2
"INHABIT ONESELF";"INHABIT ONESELF";4
"INJUSTICE RECOGNIZING";"INJUSTICE RECOGNIZING";2
"INJUSTICE STRIVING";"INJUSTICE STRIVING";6
"INJUSTICE TRANS";"INJUSTICE TRANS";6
"INPATIENT POSTPARTUM";"INPATIENT POSTPARTUM";4
"INSERTIONAL PAIN";"INSERTIONAL PAIN";4
"INSERTIONS MANAGING";"INSERTIONS MANAGING";6
"INSIDEROUTSIDERS REPRODUCTIVE";"INSIDEROUTSIDERS REPRODUCTIVE";4
"INSTITUTIONAL BARRIERS";"INSTITUTIONAL BARRIERS";2
"INSTITUTIONAL CATHOLIC";"INSTITUTIONAL CATHOLIC";2
"INSTITUTIONAL CONSTRAINTS";"INSTITUTIONAL CONSTRAINTS";4
"INSTITUTIONAL REFORMS";"INSTITUTIONAL REFORMS";6
"INSTRUCTION MANUAL";"INSTRUCTION MANUAL";1
"INSURANCE STATUS";"INSURANCE STATUS";3
"INSURGENT BODIES";"INSURGENT BODIES";6
"INTEGRATED NATIONAL";"INTEGRATED NATIONAL";1
"INTEGRATED REPRODUCTIVE";"INTEGRATED REPRODUCTIVE";1
"INTEGRATIVE VISION";"INTEGRATIVE VISION";6
"INTELLECTUALLY DISABLED";"INTELLECTUALLY DISABLED";1
"INTENDED PARENTS";"INTENDED PARENTS";6
"INTERACTIVE REPRODUCTIVE";"INTERACTIVE REPRODUCTIVE";1
"INTERACTIVE SMARTPHONE";"INTERACTIVE SMARTPHONE";4
"INTERDISCIPLINARY SOLUTION";"INTERDISCIPLINARY SOLUTION";4
"INTERGENERATIONAL MALLEABILITY";"INTERGENERATIONAL MALLEABILITY";6
"INTERGENERATIONAL TRIALOGUE";"INTERGENERATIONAL TRIALOGUE";6
"INTERNAL MEDICINE";"INTERNAL MEDICINE";5
"INTERNATIONAL CANONS";"INTERNATIONAL CANONS";2
"INTERNATIONAL CONFERENCE";"INTERNATIONAL CONFERENCE";2
"INTERNATIONAL PERSPECTIVES";"INTERNATIONAL PERSPECTIVES";5
"INTERNATIONAL SOLIDARITY";"INTERNATIONAL SOLIDARITY";6
"INTERNATIONAL SURROGACY";"INTERNATIONAL SURROGACY";6
"INTERNATIONAL VIEW";"INTERNATIONAL VIEW";3
"INTERNATIONALIST GENEALOGY";"INTERNATIONALIST GENEALOGY";6
"INTERNSHIP PROGRAM";"INTERNSHIP PROGRAM";1
"INTERPRETATIVE REVIEW";"INTERPRETATIVE REVIEW";6
"INTERPROFESSIONAL PRIMARY";"INTERPROFESSIONAL PRIMARY";1
"INTERROGATING COUNTER";"INTERROGATING COUNTER";6
"INTERSECCIONALIDADE DIREITOS";"INTERSECCIONALIDADE DIREITOS";4
"INTERSECTIONAL ANALYSIS";"INTERSECTIONAL ANALYSIS";4
"INTERSECTIONAL CHICANA";"INTERSECTIONAL CHICANA";2
"INTERSECTIONAL CLIMATE";"INTERSECTIONAL CLIMATE";2
"INTERSECTIONAL CONVIVIALITIES";"INTERSECTIONAL CONVIVIALITIES";2
"INTERSECTIONAL DISCOURSES";"INTERSECTIONAL DISCOURSES";1
"INTERSECTIONAL ECOFEMINIST";"INTERSECTIONAL ECOFEMINIST";4
"INTERSECTIONAL EXAMINATION";"INTERSECTIONAL EXAMINATION";4
"INTERSECTIONAL FEMINIST";"INTERSECTIONAL FEMINIST";2
"INTERSECTIONAL MOBILIZATION";"INTERSECTIONAL MOBILIZATION";5
